S.No,Market,Commodity,Min Price,Max Price,Modal Price,Date,State
1,Ajmer(F&V),Apple,2800,6000,4400,2022-09-11,Rajasthan
2,Ajmer(F&V),Apple,3000,5800,4400,2022-09-15,Rajasthan
3,Ajmer(F&V),Apple,3000,6500,5000,2022-11-30,Rajasthan
4,Ajmer(F&V),Apple,3000,8000,5500,2022-05-01,Rajasthan
5,Ajmer(F&V),Apple,3000,8000,5500,2024-09-24,Rajasthan
6,Ajmer(F&V),Apple,3000,10000,5000,2022-04-26,Rajasthan
7,Ajmer(F&V),Apple,3200,6000,4700,2022-11-09,Rajasthan
8,Ajmer(F&V),Apple,3200,7000,5100,2022-12-17,Rajasthan
9,Ajmer(F&V),Apple,3400,7000,5200,2022-12-09,Rajasthan
10,Ajmer(F&V),Apple,3500,6000,4750,2022-09-26,Rajasthan
11,Ajmer(F&V),Apple,3500,6000,4800,2022-10-31,Rajasthan
12,Ajmer(F&V),Apple,3500,7500,5500,2022-07-29,Rajasthan
13,Ajmer(F&V),Apple,3500,9000,6300,2022-05-15,Rajasthan
14,Ajmer(F&V),Apple,3500,10000,6800,2023-08-05,Rajasthan
15,Ajmer(F&V),Apple,3800,8500,6200,2023-02-09,Rajasthan
16,Ajmer(F&V),Apple,4000,8000,6000,2023-03-26,Rajasthan
17,Ajmer(F&V),Apple,4000,8000,6200,2023-08-13,Rajasthan
18,Ajmer(F&V),Apple,4000,8000,6600,2024-12-05,Rajasthan
19,Ajmer(F&V),Apple,4000,9000,6500,2024-01-05,Rajasthan
20,Ajmer(F&V),Apple,4000,9000,6500,2024-08-15,Rajasthan
21,Ajmer(F&V),Apple,4000,9000,6500,2023-11-20,Rajasthan
22,Ajmer(F&V),Apple,4000,9000,6500,2023-10-20,Rajasthan
23,Ajmer(F&V),Apple,4000,9000,6500,2023-10-29,Rajasthan
24,Ajmer(F&V),Apple,4000,9000,6600,2023-02-17,Rajasthan
25,Ajmer(F&V),Apple,4000,9000,6600,2023-10-30,Rajasthan
26,Ajmer(F&V),Apple,4000,10000,7000,2023-03-02,Rajasthan
27,Ajmer(F&V),Apple,4000,10000,7000,2024-02-23,Rajasthan
28,Ajmer(F&V),Apple,4000,10000,7000,2023-02-24,Rajasthan
29,Ajmer(F&V),Apple,4000,10000,7000,2024-01-27,Rajasthan
30,Ajmer(F&V),Apple,4000,10000,7000,2024-02-28,Rajasthan
31,Ajmer(F&V),Apple,4500,8000,6300,2023-06-14,Rajasthan
32,Ajmer(F&V),Apple,4500,8000,6300,2025-02-17,Rajasthan
33,Ajmer(F&V),Apple,4500,8500,6500,2024-04-18,Rajasthan
34,Ajmer(F&V),Apple,4500,8500,6500,2023-04-22,Rajasthan
