S.No,Market,Commodity,Min Price,Max Price,Modal Price,Date,State
1,Ammapet(Uzhavar Sandhai ),Custard Apple (Sharifa),1500,5000,5000,2024-07-24,Tamil Nadu
2,Ammapet(Uzhavar Sandhai ),Custard Apple (Sharifa),2000,2500,2500,2024-08-15,Tamil Nadu
3,Ammapet(Uzhavar Sandhai ),Custard Apple (Sharifa),2000,2500,2500,2024-09-19,Tamil Nadu
4,Ammapet(Uzhavar Sandhai ),Custard Apple (Sharifa),2000,2500,2500,2024-09-20,Tamil Nadu
5,Ammapet(Uzhavar Sandhai ),Custard Apple (Sharifa),2000,2500,2500,2024-09-21,Tamil Nadu
6,Ammapet(Uzhavar Sandhai ),Custard Apple (Sharifa),2000,2500,2500,2024-07-22,Tamil Nadu
7,Ammapet(Uzhavar Sandhai ),Custard Apple (Sharifa),2000,3000,3000,2024-09-09,Tamil Nadu
8,Ammapet(Uzhavar Sandhai ),Custard Apple (Sharifa),2000,3000,3000,2024-09-14,Tamil Nadu
9,Ammapet(Uzhavar Sandhai ),Custard Apple (Sharifa),2000,3000,3000,2024-07-17,Tamil Nadu
10,Ammapet(Uzhavar Sandhai ),Custard Apple (Sharifa),2000,3000,3000,2024-08-20,Tamil Nadu
11,Ammapet(Uzhavar Sandhai ),Custard Apple (Sharifa),2000,3000,3000,2024-07-23,Tamil Nadu
12,Ammapet(Uzhavar Sandhai ),Custard Apple (Sharifa),2500,3000,3000,2024-09-02,Tamil Nadu
13,Ammapet(Uzhavar Sandhai ),Custard Apple (Sharifa),2500,3000,3000,2024-09-04,Tamil Nadu
14,Ammapet(Uzhavar Sandhai ),Custard Apple (Sharifa),2500,3000,3000,2024-09-07,Tamil Nadu
15,Ammapet(Uzhavar Sandhai ),Custard Apple (Sharifa),2500,3000,3000,2024-09-10,Tamil Nadu
16,Ammapet(Uzhavar Sandhai ),Custard Apple (Sharifa),2500,3000,3000,2024-08-14,Tamil Nadu
17,Ammapet(Uzhavar Sandhai ),Custard Apple (Sharifa),2500,3000,3000,2024-09-15,Tamil Nadu
18,Ammapet(Uzhavar Sandhai ),Custard Apple (Sharifa),2500,3000,3000,2024-07-16,Tamil Nadu
19,Ammapet(Uzhavar Sandhai ),Custard Apple (Sharifa),2500,3000,3000,2024-08-18,Tamil Nadu
20,Ammapet(Uzhavar Sandhai ),Custard Apple (Sharifa),2500,3000,3000,2024-08-19,Tamil Nadu
21,Ammapet(Uzhavar Sandhai ),Custard Apple (Sharifa),2500,3000,3000,2024-07-21,Tamil Nadu
22,Ammapet(Uzhavar Sandhai ),Custard Apple (Sharifa),2500,3000,3000,2024-09-22,Tamil Nadu
23,Ammapet(Uzhavar Sandhai ),Custard Apple (Sharifa),2500,3000,3000,2024-08-23,Tamil Nadu
24,Ammapet(Uzhavar Sandhai ),Custard Apple (Sharifa),2500,3000,3000,2024-08-25,Tamil Nadu
25,Ammapet(Uzhavar Sandhai ),Custard Apple (Sharifa),2500,3000,3000,2024-08-26,Tamil Nadu
26,Ammapet(Uzhavar Sandhai ),Custard Apple (Sharifa),2500,3000,3000,2024-09-26,Tamil Nadu
27,Ammapet(Uzhavar Sandhai ),Custard Apple (Sharifa),2500,3000,3000,2024-09-27,Tamil Nadu
28,Ammapet(Uzhavar Sandhai ),Custard Apple (Sharifa),2500,3000,3000,2024-09-28,Tamil Nadu
29,Ammapet(Uzhavar Sandhai ),Custard Apple (Sharifa),2500,3000,3000,2024-09-29,Tamil Nadu
30,Ammapet(Uzhavar Sandhai ),Custard Apple (Sharifa),2500,3000,3000,2024-08-30,Tamil Nadu
31,Ammapet(Uzhavar Sandhai ),Custard Apple (Sharifa),2500,3000,3000,2024-09-30,Tamil Nadu
32,Ammapet(Uzhavar Sandhai ),Custard Apple (Sharifa),2500,3500,3500,2024-08-21,Tamil Nadu
33,Ammapet(Uzhavar Sandhai ),Custard Apple (Sharifa),2800,3000,3000,2024-09-03,Tamil Nadu
34,Ammapet(Uzhavar Sandhai ),Custard Apple (Sharifa),2800,3000,3000,2024-08-22,Tamil Nadu
35,Ammapet(Uzhavar Sandhai ),Custard Apple (Sharifa),2800,3000,3000,2024-09-23,Tamil Nadu
36,Ammapet(Uzhavar Sandhai ),Custard Apple (Sharifa),3000,3500,3500,2024-09-12,Tamil Nadu
37,Ammapet(Uzhavar Sandhai ),Custard Apple (Sharifa),3000,3500,3500,2024-11-15,Tamil Nadu
38,Ammapet(Uzhavar Sandhai ),Custard Apple (Sharifa),3000,3500,3500,2024-10-17,Tamil Nadu
39,Ammapet(Uzhavar Sandhai ),Custard Apple (Sharifa),3000,4000,4000,2024-10-01,Tamil Nadu
