S.No,Market,Commodity,Min Price,Max Price,Modal Price,Date,State
1,Ammapet(Uzhavar Sandhai ),Guava,3000,5000,5000,2024-08-20,Tamil Nadu
2,Ammapet(Uzhavar Sandhai ),Guava,3500,5000,5000,2024-08-15,Tamil Nadu
3,Ammapet(Uzhavar Sandhai ),Guava,4000,4500,4500,2024-08-05,Tamil Nadu
4,Ammapet(Uzhavar Sandhai ),Guava,4000,4500,4500,2024-11-21,Tamil Nadu
5,Ammapet(Uzhavar Sandhai ),Guava,4000,4500,4500,2024-10-29,Tamil Nadu
6,Ammapet(Uzhavar Sandhai ),Guava,4000,5000,5000,2024-11-01,Tamil Nadu
7,Ammapet(Uzhavar Sandhai ),Guava,4000,5000,5000,2024-08-02,Tamil Nadu
8,Ammapet(Uzhavar Sandhai ),Guava,4000,5000,5000,2024-12-02,Tamil Nadu
9,Ammapet(Uzhavar Sandhai ),Guava,4000,5000,5000,2024-11-02,Tamil Nadu
10,Ammapet(Uzhavar Sandhai ),Guava,4000,5000,5000,2024-08-03,Tamil Nadu
11,Ammapet(Uzhavar Sandhai ),Guava,4000,5000,5000,2024-12-03,Tamil Nadu
12,Ammapet(Uzhavar Sandhai ),Guava,4000,5000,5000,2024-11-03,Tamil Nadu
13,Ammapet(Uzhavar Sandhai ),Guava,4000,5000,5000,2024-10-03,Tamil Nadu
14,Ammapet(Uzhavar Sandhai ),Guava,4000,5000,5000,2024-12-04,Tamil Nadu
15,Ammapet(Uzhavar Sandhai ),Guava,4000,5000,5000,2024-11-04,Tamil Nadu
16,Ammapet(Uzhavar Sandhai ),Guava,4000,5000,5000,2024-10-04,Tamil Nadu
17,Ammapet(Uzhavar Sandhai ),Guava,4000,5000,5000,2024-09-04,Tamil Nadu
18,Ammapet(Uzhavar Sandhai ),Guava,4000,5000,5000,2024-12-05,Tamil Nadu
19,Ammapet(Uzhavar Sandhai ),Guava,4000,5000,5000,2024-11-05,Tamil Nadu
20,Ammapet(Uzhavar Sandhai ),Guava,4000,5000,5000,2024-10-05,Tamil Nadu
21,Ammapet(Uzhavar Sandhai ),Guava,4000,5000,5000,2024-08-06,Tamil Nadu
22,Ammapet(Uzhavar Sandhai ),Guava,4000,5000,5000,2024-12-06,Tamil Nadu
23,Ammapet(Uzhavar Sandhai ),Guava,4000,5000,5000,2024-11-06,Tamil Nadu
