S.No,Market,Commodity,Min Price,Max Price,Modal Price,Date,State
1,Tiruchengode,Maize,2500,3000,3000,2024-10-19,Tamil Nadu
2,Tiruchengode,Maize,2500,3000,3000,2024-09-08,Tamil Nadu
3,Tiruchengode,Maize,2500,3000,3000,2024-07-09,Tamil Nadu
4,Tiruchengode,Maize,2500,3000,3000,2024-09-25,Tamil Nadu
5,Tiruchengode,Maize,2500,3000,3000,2025-03-10,Tamil Nadu
6,Tiruchengode,Maize,2500,3000,3000,2024-11-05,Tamil Nadu
7,Tiruchengode,Maize,1800,2100,2000,2022-12-02,Tamil Nadu
8,Tiruchengode,Maize,1900,2300,2100,2023-09-27,Tamil Nadu
9,Tiruchengode,Maize,2500,3000,3000,2024-10-12,Tamil Nadu
10,Tiruchengode,Maize,2500,3500,3500,2024-10-29,Tamil Nadu
11,Tiruchengode,Maize,1700,2100,1900,2024-04-01,Tamil Nadu
12,Tiruchengode,Maize,2500,3000,3000,2025-03-07,Tamil Nadu
13,Tiruchengode,Maize,2500,3000,3000,2024-09-02,Tamil Nadu
14,Tiruchengode,Maize,2500,3000,3000,2024-09-22,Tamil Nadu
15,Tiruchengode,Maize,2500,3000,3000,2024-11-26,Tamil Nadu
16,Tiruchengode,Maize,2500,3000,3000,2024-09-24,Tamil Nadu
17,Tiruchengode,Maize,2500,3000,3000,2025-01-03,Tamil Nadu
18,Tiruchengode,Maize,2500,3000,3000,2025-02-14,Tamil Nadu
19,Tiruchengode,Maize,2500,3000,3000,2024-11-16,Tamil Nadu
20,Tiruchengode,Maize,2500,3000,3000,2025-03-25,Tamil Nadu
21,Tiruchengode,Maize,2500,3000,3000,2025-02-01,Tamil Nadu
22,Tiruchengode,Maize,2500,3000,3000,2024-07-13,Tamil Nadu
23,Tiruchengode,Maize,2500,3000,3000,2024-11-09,Tamil Nadu
24,Tiruchengode,Maize,2500,3000,3000,2025-03-21,Tamil Nadu
25,Tiruchengode,Maize,2500,3000,3000,2025-02-15,Tamil Nadu
26,Tiruchengode,Maize,2500,3000,3000,2025-03-23,Tamil Nadu
27,Tiruchengode,Maize,1800,2200,2050,2022-10-31,Tamil Nadu
28,Tiruchengode,Maize,2500,3000,3000,2024-08-10,Tamil Nadu
29,Tiruchengode,Maize,2500,3000,3000,2025-01-13,Tamil Nadu
