S.No,Market,Commodity,Min Price,Max Price,Modal Price,Date,State
1,Kumbakonam,Papaya,40,40,40,2024-07-03,Tamil Nadu
2,Kumbakonam,Papaya,40,40,40,2024-07-04,Tamil Nadu
3,Kumbakonam,Papaya,40,40,40,2024-07-05,Tamil Nadu
4,Kumbakonam,Papaya,40,40,40,2024-06-18,Tamil Nadu
5,Kumbakonam,Papaya,40,40,40,2024-06-19,Tamil Nadu
6,Kumbakonam,Papaya,40,40,40,2024-06-20,Tamil Nadu
7,Kumbakonam,Papaya,40,40,40,2024-06-25,Tamil Nadu
8,Kumbakonam,Papaya,48,48,48,2024-07-07,Tamil Nadu
9,Kumbakonam,Papaya,50,50,50,2024-07-01,Tamil Nadu
10,Kumbakonam,Papaya,50,50,50,2024-07-02,Tamil Nadu
11,Kumbakonam,Papaya,50,50,50,2024-07-06,Tamil Nadu
12,Kumbakonam,Papaya,50,50,50,2024-06-21,Tamil Nadu
13,Kumbakonam,Papaya,50,50,50,2024-06-22,Tamil Nadu
14,Kumbakonam,Papaya,50,50,50,2024-06-23,Tamil Nadu
15,Kumbakonam,Papaya,50,50,50,2024-06-24,Tamil Nadu
16,Kumbakonam,Papaya,50,50,50,2024-06-26,Tamil Nadu
17,Kumbakonam,Papaya,50,50,50,2024-06-27,Tamil Nadu
18,Kumbakonam,Papaya,50,50,50,2024-06-28,Tamil Nadu
19,Kumbakonam,Papaya,50,50,50,2024-06-29,Tamil Nadu
20,Kumbakonam,Papaya,50,50,50,2024-06-30,Tamil Nadu
21,Kumbakonam,Papaya,4000,4000,4000,2024-07-08,Tamil Nadu
22,Kumbakonam,Papaya,4000,4000,4000,2024-07-09,Tamil Nadu
23,Kumbakonam,Papaya,4000,4000,4000,2024-07-11,Tamil Nadu
24,Kumbakonam,Papaya,4000,4000,4000,2024-07-12,Tamil Nadu
25,Kumbakonam,Papaya,4000,4000,4000,2024-07-13,Tamil Nadu
26,Kumbakonam,Papaya,4000,4000,4000,2024-07-16,Tamil Nadu
27,Kumbakonam,Papaya,4800,4800,4800,2024-07-10,Tamil Nadu
28,Kumbakonam,Papaya,4800,4800,4800,2024-07-14,Tamil Nadu
29,Kumbakonam,Papaya,4800,4800,4800,2024-07-15,Tamil Nadu
