S.No,Market,Commodity,Min Price,Max Price,Modal Price,Date,State
1,Sivakasi(Uzhavar Sandhai ),Papaya,1500,2000,2000,2024-09-01,Tamil Nadu
2,Sivakasi(Uzhavar Sandhai ),Papaya,1500,2000,2000,2024-09-04,Tamil Nadu
3,Sivakasi(Uzhavar Sandhai ),Papaya,1500,2000,2000,2024-10-05,Tamil Nadu
4,Sivakasi(Uzhavar Sandhai ),Papaya,1500,2000,2000,2024-09-06,Tamil Nadu
5,Sivakasi(Uzhavar Sandhai ),Papaya,1500,2000,2000,2024-09-07,Tamil Nadu
6,Sivakasi(Uzhavar Sandhai ),Papaya,1500,2000,2000,2024-08-10,Tamil Nadu
7,Sivakasi(Uzhavar Sandhai ),Papaya,1500,2000,2000,2024-08-11,Tamil Nadu
8,Sivakasi(Uzhavar Sandhai ),Papaya,1500,2000,2000,2024-10-11,Tamil Nadu
9,Sivakasi(Uzhavar Sandhai ),Papaya,1500,2000,2000,2024-08-15,Tamil Nadu
10,Sivakasi(Uzhavar Sandhai ),Papaya,1500,2000,2000,2024-08-17,Tamil Nadu
11,Sivakasi(Uzhavar Sandhai ),Papaya,1500,2000,2000,2024-08-18,Tamil Nadu
12,Sivakasi(Uzhavar Sandhai ),Papaya,1500,2000,2000,2024-08-25,Tamil Nadu
13,Sivakasi(Uzhavar Sandhai ),Papaya,1600,2000,2000,2024-09-02,Tamil Nadu
14,Sivakasi(Uzhavar Sandhai ),Papaya,1600,2000,2000,2024-09-05,Tamil Nadu
15,Sivakasi(Uzhavar Sandhai ),Papaya,1600,2000,2000,2024-09-09,Tamil Nadu
16,Sivakasi(Uzhavar Sandhai ),Papaya,1600,2000,2000,2024-08-21,Tamil Nadu
17,Sivakasi(Uzhavar Sandhai ),Papaya,1800,2000,2000,2024-09-08,Tamil Nadu
18,Sivakasi(Uzhavar Sandhai ),Papaya,1800,2000,2000,2024-08-12,Tamil Nadu
19,Sivakasi(Uzhavar Sandhai ),Papaya,1800,2000,2000,2024-08-13,Tamil Nadu
20,Sivakasi(Uzhavar Sandhai ),Papaya,1800,2000,2000,2024-08-14,Tamil Nadu
21,Sivakasi(Uzhavar Sandhai ),Papaya,1800,2000,2000,2024-08-16,Tamil Nadu
22,Sivakasi(Uzhavar Sandhai ),Papaya,1800,2000,2000,2024-08-19,Tamil Nadu
23,Sivakasi(Uzhavar Sandhai ),Papaya,1800,2000,2000,2024-10-21,Tamil Nadu
24,Sivakasi(Uzhavar Sandhai ),Papaya,1800,2000,2000,2024-08-22,Tamil Nadu
25,Sivakasi(Uzhavar Sandhai ),Papaya,1800,2000,2000,2024-10-22,Tamil Nadu
26,Sivakasi(Uzhavar Sandhai ),Papaya,1800,2000,2000,2024-08-24,Tamil Nadu
27,Sivakasi(Uzhavar Sandhai ),Papaya,1900,2000,2000,2024-09-03,Tamil Nadu
28,Sivakasi(Uzhavar Sandhai ),Papaya,1900,2000,2000,2024-08-20,Tamil Nadu
29,Sivakasi(Uzhavar Sandhai ),Papaya,1900,2000,2000,2024-08-26,Tamil Nadu
30,Sivakasi(Uzhavar Sandhai ),Papaya,1900,2000,2000,2024-08-27,Tamil Nadu
31,Sivakasi(Uzhavar Sandhai ),Papaya,2000,2500,2500,2024-10-01,Tamil Nadu
32,Sivakasi(Uzhavar Sandhai ),Papaya,2000,2500,2500,2024-10-02,Tamil Nadu
33,Sivakasi(Uzhavar Sandhai ),Papaya,2000,2500,2500,2024-10-10,Tamil Nadu
34,Sivakasi(Uzhavar Sandhai ),Papaya,2000,2500,2500,2024-09-10,Tamil Nadu
35,Sivakasi(Uzhavar Sandhai ),Papaya,2000,2500,2500,2024-09-11,Tamil Nadu
36,Sivakasi(Uzhavar Sandhai ),Papaya,2000,2500,2500,2024-09-12,Tamil Nadu
37,Sivakasi(Uzhavar Sandhai ),Papaya,2000,2500,2500,2024-09-14,Tamil Nadu
38,Sivakasi(Uzhavar Sandhai ),Papaya,2000,2500,2500,2024-07-17,Tamil Nadu
39,Sivakasi(Uzhavar Sandhai ),Papaya,2000,2500,2500,2024-07-18,Tamil Nadu
40,Sivakasi(Uzhavar Sandhai ),Papaya,2000,2500,2500,2024-10-18,Tamil Nadu
41,Sivakasi(Uzhavar Sandhai ),Papaya,2000,2500,2500,2024-09-19,Tamil Nadu
42,Sivakasi(Uzhavar Sandhai ),Papaya,2000,2500,2500,2024-07-20,Tamil Nadu
43,Sivakasi(Uzhavar Sandhai ),Papaya,2000,2500,2500,2024-09-20,Tamil Nadu
44,Sivakasi(Uzhavar Sandhai ),Papaya,2000,2500,2500,2024-07-21,Tamil Nadu
45,Sivakasi(Uzhavar Sandhai ),Papaya,2000,2500,2500,2024-12-22,Tamil Nadu
46,Sivakasi(Uzhavar Sandhai ),Papaya,2000,2500,2500,2024-07-22,Tamil Nadu
47,Sivakasi(Uzhavar Sandhai ),Papaya,2000,2500,2500,2024-07-24,Tamil Nadu
48,Sivakasi(Uzhavar Sandhai ),Papaya,2000,2500,2500,2024-07-25,Tamil Nadu
49,Sivakasi(Uzhavar Sandhai ),Papaya,2000,2500,2500,2024-10-25,Tamil Nadu
50,Sivakasi(Uzhavar Sandhai ),Papaya,2000,2500,2500,2024-09-27,Tamil Nadu
51,Sivakasi(Uzhavar Sandhai ),Papaya,2000,2500,2500,2024-07-28,Tamil Nadu
52,Sivakasi(Uzhavar Sandhai ),Papaya,2000,2500,2500,2024-09-28,Tamil Nadu
53,Sivakasi(Uzhavar Sandhai ),Papaya,2000,2500,2500,2024-08-29,Tamil Nadu
54,Sivakasi(Uzhavar Sandhai ),Papaya,2000,2500,2500,2024-08-30,Tamil Nadu
55,Sivakasi(Uzhavar Sandhai ),Papaya,2000,2500,2500,2024-08-31,Tamil Nadu
56,Sivakasi(Uzhavar Sandhai ),Papaya,2400,2500,2500,2024-10-03,Tamil Nadu
57,Sivakasi(Uzhavar Sandhai ),Papaya,2400,2500,2500,2024-10-04,Tamil Nadu
58,Sivakasi(Uzhavar Sandhai ),Papaya,2400,2500,2500,2024-10-09,Tamil Nadu
59,Sivakasi(Uzhavar Sandhai ),Papaya,2400,2500,2500,2024-10-12,Tamil Nadu
60,Sivakasi(Uzhavar Sandhai ),Papaya,2400,2500,2500,2024-10-13,Tamil Nadu
61,Sivakasi(Uzhavar Sandhai ),Papaya,2400,2500,2500,2024-10-14,Tamil Nadu
62,Sivakasi(Uzhavar Sandhai ),Papaya,2400,2500,2500,2024-10-15,Tamil Nadu
63,Sivakasi(Uzhavar Sandhai ),Papaya,2400,2500,2500,2024-09-15,Tamil Nadu
64,Sivakasi(Uzhavar Sandhai ),Papaya,2400,2500,2500,2024-07-16,Tamil Nadu
65,Sivakasi(Uzhavar Sandhai ),Papaya,2400,2500,2500,2024-10-16,Tamil Nadu
66,Sivakasi(Uzhavar Sandhai ),Papaya,2400,2500,2500,2024-09-16,Tamil Nadu
67,Sivakasi(Uzhavar Sandhai ),Papaya,2400,2500,2500,2024-10-17,Tamil Nadu
68,Sivakasi(Uzhavar Sandhai ),Papaya,2400,2500,2500,2024-09-17,Tamil Nadu
69,Sivakasi(Uzhavar Sandhai ),Papaya,2400,2500,2500,2024-09-18,Tamil Nadu
70,Sivakasi(Uzhavar Sandhai ),Papaya,2400,2500,2500,2024-07-19,Tamil Nadu
71,Sivakasi(Uzhavar Sandhai ),Papaya,2400,2500,2500,2024-10-19,Tamil Nadu
72,Sivakasi(Uzhavar Sandhai ),Papaya,2400,2500,2500,2024-10-20,Tamil Nadu
73,Sivakasi(Uzhavar Sandhai ),Papaya,2400,2500,2500,2024-09-21,Tamil Nadu
74,Sivakasi(Uzhavar Sandhai ),Papaya,2400,2500,2500,2024-09-22,Tamil Nadu
75,Sivakasi(Uzhavar Sandhai ),Papaya,2400,2500,2500,2024-12-23,Tamil Nadu
76,Sivakasi(Uzhavar Sandhai ),Papaya,2400,2500,2500,2024-07-23,Tamil Nadu
77,Sivakasi(Uzhavar Sandhai ),Papaya,2400,2500,2500,2024-10-23,Tamil Nadu
78,Sivakasi(Uzhavar Sandhai ),Papaya,2400,2500,2500,2024-09-23,Tamil Nadu
79,Sivakasi(Uzhavar Sandhai ),Papaya,2400,2500,2500,2024-12-24,Tamil Nadu
80,Sivakasi(Uzhavar Sandhai ),Papaya,2400,2500,2500,2024-10-24,Tamil Nadu
81,Sivakasi(Uzhavar Sandhai ),Papaya,2400,2500,2500,2024-09-24,Tamil Nadu
82,Sivakasi(Uzhavar Sandhai ),Papaya,2400,2500,2500,2024-09-25,Tamil Nadu
83,Sivakasi(Uzhavar Sandhai ),Papaya,2400,2500,2500,2024-07-26,Tamil Nadu
84,Sivakasi(Uzhavar Sandhai ),Papaya,2400,2500,2500,2024-10-26,Tamil Nadu
85,Sivakasi(Uzhavar Sandhai ),Papaya,2400,2500,2500,2024-09-26,Tamil Nadu
86,Sivakasi(Uzhavar Sandhai ),Papaya,2400,2500,2500,2024-07-27,Tamil Nadu
87,Sivakasi(Uzhavar Sandhai ),Papaya,2400,2500,2500,2024-10-27,Tamil Nadu
88,Sivakasi(Uzhavar Sandhai ),Papaya,2400,2500,2500,2024-09-29,Tamil Nadu
