S.No,Market,Commodity,Min Price,Max Price,Modal Price,Date,State
1,Ajmer(F&V),Plum,2500,3500,3000,2023-08-18,Rajasthan
2,Ajmer(F&V),Plum,2500,3500,3000,2023-09-21,Rajasthan
3,Ajmer(F&V),Plum,2500,3500,3000,2023-08-28,Rajasthan
4,Ajmer(F&V),Plum,2500,3500,3000,2023-07-30,Rajasthan
5,Ajmer(F&V),Plum,2500,4000,3300,2023-06-28,Rajasthan
6,Ajmer(F&V),Plum,2800,3200,3000,2023-08-02,Rajasthan
7,Ajmer(F&V),Plum,2800,3600,3200,2023-08-10,Rajasthan
8,Ajmer(F&V),Plum,2800,4000,3400,2023-07-01,Rajasthan
9,Ajmer(F&V),Plum,3000,4000,3500,2023-12-01,Rajasthan
10,Ajmer(F&V),Plum,3000,4000,3500,2023-09-01,Rajasthan
11,Ajmer(F&V),Plum,3000,4000,3500,2023-11-02,Rajasthan
12,Ajmer(F&V),Plum,3000,4000,3500,2023-09-03,Rajasthan
13,Ajmer(F&V),Plum,3000,4000,3500,2023-07-07,Rajasthan
14,Ajmer(F&V),Plum,3000,4000,3500,2023-07-08,Rajasthan
15,Ajmer(F&V),Plum,3000,4000,3500,2023-08-09,Rajasthan
16,Ajmer(F&V),Plum,3000,4000,3500,2023-08-14,Rajasthan
17,Ajmer(F&V),Plum,3000,4000,3500,2023-07-14,Rajasthan
18,Ajmer(F&V),Plum,3000,4000,3500,2023-07-18,Rajasthan
19,Ajmer(F&V),Plum,3000,4000,3500,2023-07-20,Rajasthan
20,Ajmer(F&V),Plum,3000,4000,3500,2023-08-23,Rajasthan
21,Ajmer(F&V),Plum,3000,4000,3500,2024-05-24,Rajasthan
22,Ajmer(F&V),Plum,3000,4000,3500,2023-08-26,Rajasthan
23,Ajmer(F&V),Plum,3000,4000,3500,2023-06-26,Rajasthan
24,Ajmer(F&V),Plum,3000,4000,3700,2023-08-24,Rajasthan
25,Ajmer(F&V),Plum,3000,4200,3600,2023-07-21,Rajasthan
26,Ajmer(F&V),Plum,3000,4400,3700,2023-07-11,Rajasthan
27,Ajmer(F&V),Plum,3000,4500,3800,2023-07-04,Rajasthan
28,Ajmer(F&V),Plum,3000,4500,3800,2023-08-21,Rajasthan
29,Ajmer(F&V),Plum,3000,5000,4000,2024-08-01,Rajasthan
30,Ajmer(F&V),Plum,3000,5000,4000,2023-08-04,Rajasthan
31,Ajmer(F&V),Plum,3000,5000,4000,2023-09-04,Rajasthan
32,Ajmer(F&V),Plum,3000,5000,4000,2024-08-05,Rajasthan
33,Ajmer(F&V),Plum,3000,5000,4000,2023-08-07,Rajasthan
34,Ajmer(F&V),Plum,3000,5000,4000,2024-08-10,Rajasthan
35,Ajmer(F&V),Plum,3000,5000,4000,2023-08-29,Rajasthan
36,Ajmer(F&V),Plum,3000,5000,4000,2023-07-29,Rajasthan
37,Ajmer(F&V),Plum,3000,5000,4200,2024-07-30,Rajasthan
38,Ajmer(F&V),Plum,3000,6000,4500,2024-08-09,Rajasthan
39,Ajmer(F&V),Plum,3500,4500,4000,2024-12-02,Rajasthan
40,Ajmer(F&V),Plum,3500,4500,4000,2023-08-03,Rajasthan
41,Ajmer(F&V),Plum,3500,4500,4000,2023-07-05,Rajasthan
42,Ajmer(F&V),Plum,3500,4500,4000,2024-08-11,Rajasthan
43,Ajmer(F&V),Plum,3500,4500,4000,2024-05-18,Rajasthan
44,Ajmer(F&V),Plum,3500,4500,4000,2024-07-19,Rajasthan
45,Ajmer(F&V),Plum,3500,4500,4000,2023-08-25,Rajasthan
46,Ajmer(F&V),Plum,3500,4500,4000,2024-06-28,Rajasthan
47,Ajmer(F&V),Plum,3500,4500,4000,2024-07-29,Rajasthan
48,Ajmer(F&V),Plum,3500,5000,4300,2024-07-15,Rajasthan
49,Ajmer(F&V),Plum,3500,5000,4300,2024-07-18,Rajasthan
50,Ajmer(F&V),Plum,3500,5000,4300,2024-08-23,Rajasthan
51,Ajmer(F&V),Plum,3500,5500,4500,2024-07-12,Rajasthan
52,Ajmer(F&V),Plum,3500,5500,4500,2024-09-12,Rajasthan
53,Ajmer(F&V),Plum,3500,5500,4500,2024-07-14,Rajasthan
54,Ajmer(F&V),Plum,3500,5500,4500,2024-08-16,Rajasthan
55,Ajmer(F&V),Plum,3500,5500,4500,2024-07-26,Rajasthan
56,Ajmer(F&V),Plum,3500,5500,4500,2024-07-28,Rajasthan
57,Ajmer(F&V),Plum,3500,6000,4800,2024-08-22,Rajasthan
58,Ajmer(F&V),Plum,3500,6500,5000,2024-07-13,Rajasthan
59,Ajmer(F&V),Plum,3500,6500,5000,2024-08-29,Rajasthan
60,Ajmer(F&V),Plum,4000,4600,4300,2024-05-13,Rajasthan
61,Ajmer(F&V),Plum,4000,5000,4500,2024-12-07,Rajasthan
