S.No,Market,Commodity,Min Price,Max Price,Modal Price,Date,State
1,Usilampatty,Tomato,25,30,30,2024-07-03,Tamil Nadu
2,Usilampatty,Tomato,25,30,30,2024-07-04,Tamil Nadu
3,Usilampatty,Tomato,30,40,40,2024-07-05,Tamil Nadu
4,Usilampatty,Tomato,30,42,42,2024-07-06,Tamil Nadu
5,Usilampatty,Tomato,30,42,42,2024-07-07,Tamil Nadu
6,Usilampatty,Tomato,40,42,42,2024-07-02,Tamil Nadu
7,Usilampatty,Tomato,40,45,45,2024-07-01,Tamil Nadu
8,Usilampatty,Tomato,40,46,46,2024-06-28,Tamil Nadu
9,Usilampatty,Tomato,40,46,46,2024-06-29,Tamil Nadu
10,Usilampatty,Tomato,40,52,52,2024-06-27,Tamil Nadu
11,Usilampatty,Tomato,45,50,50,2024-06-30,Tamil Nadu
12,Usilampatty,Tomato,50,60,60,2024-06-26,Tamil Nadu
13,Usilampatty,Tomato,55,60,60,2024-06-18,Tamil Nadu
14,Usilampatty,Tomato,60,65,65,2024-06-25,Tamil Nadu
15,Usilampatty,Tomato,60,68,68,2024-06-22,Tamil Nadu
16,Usilampatty,Tomato,60,70,70,2024-06-21,Tamil Nadu
17,Usilampatty,Tomato,60,70,70,2024-06-23,Tamil Nadu
18,Usilampatty,Tomato,60,80,80,2024-06-20,Tamil Nadu
19,Usilampatty,Tomato,65,75,75,2024-06-19,Tamil Nadu
20,Usilampatty,Tomato,70,72,72,2024-06-24,Tamil Nadu
21,Usilampatty,Tomato,800,1000,1000,2025-03-04,Tamil Nadu
22,Usilampatty,Tomato,1000,1200,1200,2025-03-06,Tamil Nadu
23,Usilampatty,Tomato,1000,1200,1200,2025-03-07,Tamil Nadu
24,Usilampatty,Tomato,1000,1200,1200,2025-03-11,Tamil Nadu
25,Usilampatty,Tomato,1000,1200,1200,2025-03-12,Tamil Nadu
26,Usilampatty,Tomato,1000,1200,1200,2025-03-24,Tamil Nadu
27,Usilampatty,Tomato,1000,1200,1200,2025-03-25,Tamil Nadu
28,Usilampatty,Tomato,1200,1400,1400,2025-03-03,Tamil Nadu
29,Usilampatty,Tomato,1200,1400,1400,2025-03-13,Tamil Nadu
30,Usilampatty,Tomato,1200,1400,1400,2025-03-14,Tamil Nadu
31,Usilampatty,Tomato,1200,1400,1400,2025-03-15,Tamil Nadu
32,Usilampatty,Tomato,1200,1400,1400,2025-03-20,Tamil Nadu
33,Usilampatty,Tomato,1200,1400,1400,2025-03-21,Tamil Nadu
34,Usilampatty,Tomato,1200,1400,1400,2025-03-22,Tamil Nadu
35,Usilampatty,Tomato,1200,1400,1400,2025-03-23,Tamil Nadu
36,Usilampatty,Tomato,1200,1400,1400,2025-03-26,Tamil Nadu
37,Usilampatty,Tomato,1200,1400,1400,2025-03-27,Tamil Nadu
38,Usilampatty,Tomato,1200,1400,1400,2025-03-28,Tamil Nadu
39,Usilampatty,Tomato,1200,1600,1600,2025-03-08,Tamil Nadu
40,Usilampatty,Tomato,1200,1600,1600,2025-03-29,Tamil Nadu
41,Usilampatty,Tomato,1200,2000,2000,2024-09-01,Tamil Nadu
