main-crop,sub-crop,N,P,K,temperature,humidity,ph,rainfall
Banana,Papaya,106.6599862,83.14785359,46.63123375,26.14172727,84.84442901,6.460946323,100.7281266
Banana,Papaya,77.34270342,66.30448752,49.01651107,28.35608429,73.75840022,6.276578827,108.3194957
Banana,Papaya,78.20720222,79.76642074,41.24226076,28.21991381,82.04375234,5.752113439,110.7931529
Banana,Papaya,88.86279714,74.76022254,54.07864328,29.31126109,74.5263675,5.847447674,103.1767567
Banana,Papaya,111.5976174,70.48223152,40.33630365,28.18048103,70.7209572,5.83455251,92.60493477
Banana,Papaya,104.5684146,75.65729132,42.41391013,27.95929297,82.9660407,6.29697892,97.13507744
Banana,Papaya,97.31565361,70.27604139,48.17317245,25.62871023,74.2611062,5.779187975,87.41104623
Banana,Papaya,99.43867048,88.67075411,51.02041323,25.2004651,83.99225344,5.663039181,111.3415155
Banana,Papaya,80.86467992,88.88539028,41.47464458,28.96210666,84.82978024,5.600807292,96.41049241
Banana,Papaya,105.6910984,75.00076876,41.10390671,29.28431825,79.98501727,5.935813385,103.4336505
Banana,Papaya,77.2121072,89.55859032,55.0040676,27.45645829,83.99608681,6.302678435,104.3928202
Banana,Papaya,98.00519529,70.83583261,40.49125792,25.12025698,80.19279865,6.403971604,86.34296277
Banana,Papaya,75.59406314,89.36479142,55.52914722,29.02433539,84.10285396,5.824844958,114.1598728
Banana,Papaya,102.2217197,87.99266002,44.60542684,29.07393101,80.78880277,6.363142924,103.4548791
Banana,Papaya,99.80507511,82.79226063,54.16270596,29.27172729,78.2409,6.071419143,87.69922699
Banana,Papaya,84.24185596,86.78903752,59.66114084,29.44565089,77.79599487,5.63583555,97.64879049
Banana,Papaya,106.299336,80.92688241,56.16986043,26.66154463,71.62794444,5.629590592,85.50880183
Banana,Papaya,99.48240224,65.38791245,53.2221026,29.85544376,82.65204544,6.411645036,89.16172003
Banana,Papaya,85.4570841,70.69964607,55.52600124,28.35447714,83.6996856,6.056927479,94.30672426
Banana,Papaya,92.02180296,72.90559309,44.64131839,25.4542398,83.9946914,6.309066227,97.57696944
Banana,Papaya,109.8319052,75.14478821,54.99070756,26.2134579,82.18394272,6.067439478,102.4565076
Banana,Papaya,97.79225359,86.34387593,42.9033483,27.46682151,73.94468842,6.209902743,88.73852543
