main-crop,sub-crop,N,P,K,temperature,humidity,ph,rainfall
Bengal Gram (Gram)(Whole),Kabuli Channa(Chickpeas-White),49.62291216,76.30374163,77.01914293,18.2370025,15.28271135,7.901635079,88.52847414
Bengal Gram (Gram)(Whole),Kabuli Channa(Chickpeas-White),57.38177444,72.83359219,82.06883616,20.68576841,19.56189885,6.130597645,73.95537781
Bengal Gram (Gram)(Whole),Kabuli Channa(Chickpeas-White),32.209061,59.3584655,78.0417753,18.34581857,16.62843789,8.487530937,87.18712129
Bengal Gram (Gram)(Whole),Kabuli Channa(Chickpeas-White),29.41629556,76.34803439,82.59013157,18.81005625,18.80917741,6.040931645,74.20732554
Bengal Gram (Gram)(Whole),Kabuli Channa(Chickpeas-White),51.16790544,62.88231591,80.62083755,20.33847803,19.27562695,8.025861626,74.17787298
Bengal Gram (Gram)(Whole),Kabuli Channa(Chickpeas-White),57.9328363,58.44420613,81.79021194,19.43217616,15.43655876,7.245364644,72.4768741
Bengal Gram (Gram)(Whole),Kabuli Channa(Chickpeas-White),55.23491449,57.39143281,83.46529859,20.64880486,17.09103787,7.033649801,66.45894354
Bengal Gram (Gram)(Whole),Kabuli Channa(Chickpeas-White),34.48350318,68.62317904,80.32280328,19.53620937,17.9768614,6.047525308,70.21400263
Bengal Gram (Gram)(Whole),Kabuli Channa(Chickpeas-White),39.0345775,60.25151257,76.91206876,17.74179947,17.66382097,7.982042163,82.26788617
Bengal Gram (Gram)(Whole),Kabuli Channa(Chickpeas-White),53.64449021,61.73734717,82.32811775,18.42868788,16.32146853,6.203623126,87.98528557
Bengal Gram (Gram)(Whole),Kabuli Channa(Chickpeas-White),56.73543846,72.78256428,79.79750778,20.00144474,18.94982588,7.94801012,88.13311915
Bengal Gram (Gram)(Whole),Kabuli Channa(Chickpeas-White),42.51578344,63.91843564,81.04258003,19.65193992,19.70250076,8.507050712,71.90980359
Bengal Gram (Gram)(Whole),Kabuli Channa(Chickpeas-White),25.88190166,63.28597524,83.04512348,18.63717108,16.55534402,8.489137968,65.5500218
Bengal Gram (Gram)(Whole),Kabuli Channa(Chickpeas-White),28.79234984,76.36959851,79.35586246,18.84903111,15.88039348,7.055622311,87.89089303
Bengal Gram (Gram)(Whole),Kabuli Channa(Chickpeas-White),25.58898452,68.17764817,83.75803925,18.23325353,16.88844003,7.521134421,84.96191686
Bengal Gram (Gram)(Whole),Kabuli Channa(Chickpeas-White),47.75540488,73.98864892,79.25036455,18.68887887,15.03318901,6.153060141,88.43756474
Bengal Gram (Gram)(Whole),Kabuli Channa(Chickpeas-White),46.19660337,73.23733588,76.03694207,19.86203424,15.1772385,6.920021249,77.60570432
