main-crop,sub-crop,N,P,K,temperature,humidity,ph,rainfall
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),24.88301503,65.15904011,19.9378008,26.96076596,66.87437199,7.115795212,74.60693647
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),49.26338945,60.24067743,29.45257542,26.74437195,62.86341413,6.922936461,69.29851495
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),27.40309946,70.19466479,21.83773544,34.19153731,69.21011159,6.515551305,61.45836477
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),25.00404548,73.24036763,20.16284298,34.4627857,66.44656042,6.885825076,62.70909726
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),37.4012377,72.00220837,22.66023185,33.53340551,64.82557831,6.556045943,66.82146888
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),25.57839658,60.62827091,15.52800267,29.78690863,62.4682633,6.797973176,73.35865525
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),52.08010072,55.74559018,28.20681869,34.82273689,67.51457741,6.534426766,77.72062778
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),35.50076743,56.39994272,15.32311793,30.23325667,64.11796053,6.537647991,64.14558228
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),30.97362114,64.61159241,15.3311688,25.50069533,60.72127851,6.60075926,65.55381134
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),39.65076276,67.90449525,24.6901175,30.3565295,62.57307678,7.3092322,76.03524502
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),47.35649732,56.45851418,25.79935094,29.28486208,62.17067595,6.880534931,79.84838424
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),47.24986565,67.08215485,26.2964175,30.40595275,63.66606607,7.143808414,64.31821864
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),24.64577562,68.07787982,21.72867919,30.30491771,68.30261587,7.157017946,79.89791234
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),36.14718012,71.07868918,18.87244727,27.87030451,65.72743391,7.229455225,75.66602093
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),34.06147652,67.73536572,15.02548099,32.33765538,67.19986264,6.693773698,74.68506859
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),30.89242009,65.22405718,29.96037439,30.12619608,60.65415117,6.802213117,74.78276093
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),46.13514567,65.60912749,22.58209124,30.97266517,64.05681784,6.971604324,70.41148474
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),35.27979692,71.69340689,26.02098328,32.17155194,63.89929012,6.536858048,77.57533157
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),42.91639489,67.18799363,29.58811529,26.54863759,66.28880529,7.234872997,71.94937631
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),25.0951016,67.73173679,27.51017889,26.05941748,67.04794085,7.250570247,77.40862909
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),42.17568086,71.75510807,22.56426939,31.50960578,61.4969143,7.435536489,73.53159053
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),22.02777003,71.01965676,28.23861677,25.80822788,62.86909536,7.053039362,73.4184832
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),33.77460959,55.96277616,19.8001147,34.32080586,64.11870378,6.864873837,79.82065672
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),37.58368948,54.23404407,28.4847264,30.86676222,68.26479778,6.666691965,67.03763399
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),36.01812954,64.67564137,19.34758161,29.13542452,69.4850387,6.8997463,61.81239701
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),32.25524225,71.59971839,26.52972215,30.98260911,64.60257625,7.129594593,66.98243989
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),39.70014138,71.69125941,22.40369168,33.84041324,66.66893893,6.888771757,79.00240115
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),23.99096928,74.95382705,18.06704686,26.48927146,66.08498259,6.516288176,72.62656258
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),28.9417729,52.02526081,28.09382618,29.91795212,63.18333979,7.482080486,76.55747044
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),49.61536223,54.87135786,18.62538863,25.0142478,68.57523755,7.176500519,79.24820197
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),32.06972435,63.8248668,26.49045707,30.64459661,68.00717204,7.004103601,64.70151867
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),51.19280443,64.99200115,21.28961129,26.62973317,66.34805279,7.44537802,79.86549251
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),52.69733346,65.99870988,24.56010943,33.64356381,64.46974144,6.631938045,66.8483044
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),20.22133515,67.79536344,19.0877967,26.73142604,66.54972887,6.902464694,70.11341295
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),22.47893955,64.86163838,16.85536365,31.32734051,69.19482252,6.757055736,63.02283778
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),49.35012033,61.74641126,22.09732042,30.10195103,62.46445698,7.226625565,74.98859226
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),41.07453295,58.59461786,15.75457575,34.42372471,63.96374525,6.9228146,69.52829868
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),38.50867205,73.81047082,15.73087917,31.79282084,69.59944475,6.684199467,79.36886543
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),36.32794327,51.71597851,19.80823632,26.85600416,65.58088424,6.638490832,62.36916339
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),46.26785945,51.91008347,19.27671274,26.45680562,68.33342785,7.370974052,70.34780559
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),41.97432492,69.55461181,18.58633474,29.50668211,61.29862712,7.218442758,70.35206654
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),24.00792721,67.27898224,25.52456762,31.41635252,60.31987906,6.880604716,69.22790787
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),36.65338575,67.78341745,21.69091225,25.20538256,66.88660184,7.425882256,79.99959079
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),35.36686827,56.01147664,15.67907319,30.91344217,60.96284443,7.383332157,65.88786063
Black Gram (Urd Beans)(Whole),Green Gram (Moong)(Whole),34.39374006,57.64640699,28.38080003,25.53195287,63.57625461,6.966275113,65.90195782
