main-crop,sub-crop,N,P,K,temperature,humidity,ph,rainfall
Coffee,Banana,101.7343446,18.60585904,41.89734836,28.95590714,64.78582773,6.653178262,160.1303826
Coffee,Banana,105.6989434,23.61785083,47.12062408,27.0755608,64.0898599,6.449257376,229.480708
Coffee,Banana,106.0942176,39.54810087,48.08915972,26.10097652,55.79107154,7.201224947,125.30729
Coffee,Banana,108.1600558,37.18279426,37.69332154,25.6016711,66.04660256,7.112685696,237.7088402
Coffee,Banana,84.28015435,20.71499457,49.09123117,29.33697321,69.11479883,7.474299218,243.4083547
Coffee,Banana,97.39262289,23.57487182,47.44424103,27.75556401,52.60101826,7.039245518,213.747521
Coffee,Banana,84.13209423,31.49029331,33.40229256,29.22089906,71.32484156,6.502659708,162.6356712
Coffee,Banana,104.5548001,38.59856615,46.07169937,28.10452276,54.9003183,6.74154992,218.001478
Coffee,Banana,84.1424579,17.3755564,39.95624518,29.80052664,54.08199865,7.385599748,210.5559085
Coffee,Banana,97.79276337,30.02766975,35.35910397,26.95761894,51.95438724,6.976195351,164.302865
Coffee,Banana,85.95457176,16.7056183,42.08590321,26.03029104,71.95405574,7.339811904,161.8212118
Coffee,Banana,107.2107626,23.87304767,46.63309934,29.83006957,50.83967124,6.723478316,200.0045005
Coffee,Banana,92.04902337,28.56220839,30.12587951,26.55080874,58.02064037,5.995057767,100.3965483
Coffee,Banana,112.1005003,21.45360665,38.25656296,28.18905519,66.44311539,7.399385393,221.3786808
Coffee,Banana,117.6473479,33.59759037,31.38869345,25.35086975,72.33084799,6.59612232,224.4967616
Coffee,Banana,119.231389,35.04141674,39.63000227,29.66393356,70.45763718,5.662732897,215.1445931
Coffee,Banana,108.7948753,36.94305716,46.96731317,28.79214887,74.0374946,5.615161702,177.2800799
Coffee,Banana,99.03401735,21.33792112,42.43931236,28.02970674,64.57633472,6.108557276,222.1627449
Coffee,Banana,106.6503745,18.91687819,33.46116743,27.74003748,65.36600721,6.53612604,172.0424459
Coffee,Banana,91.25965076,19.37982115,46.45027717,27.11273576,59.18830973,7.269109969,226.9212643
Coffee,Banana,93.6348106,29.2459699,41.01936906,26.68691899,69.63038398,6.182865337,243.1626218
Coffee,Banana,111.4166684,32.03734463,34.75112078,25.03852999,63.9670595,6.05394978,136.0981687
