main-crop,sub-crop,N,P,K,temperature,humidity,ph,rainfall
Cotton,Black Gram Dal (Urd Dal),111.8030729,44.92207096,23.15537422,22.72243593,83.38730125,6.859844322,99.97759809
Cotton,Black Gram Dal (Urd Dal),121.9965526,50.53487896,20.67680839,25.29063402,82.58743732,6.666135291,85.65167879
Cotton,Black Gram Dal (Urd Dal),112.3880204,45.73248293,22.71503891,25.92365458,80.62112369,6.600069016,97.40977709
Cotton,Black Gram Dal (Urd Dal),102.8174667,38.32565079,22.98028627,23.28304635,76.62253421,7.674748648,86.7020826
Cotton,Black Gram Dal (Urd Dal),122.4787319,44.22480629,19.10621597,25.98403419,79.35776816,6.519637572,89.83082466
Cotton,Black Gram Dal (Urd Dal),122.3460436,50.66810399,20.45621719,23.52318355,77.57840544,7.162572122,79.96472277
Cotton,Black Gram Dal (Urd Dal),110.4022243,40.62330183,22.82188991,24.0100151,75.03011324,7.774112075,60.89115432
Cotton,Black Gram Dal (Urd Dal),111.5035107,52.57441084,22.1131642,23.29312092,83.47207514,7.439925067,80.03719583
Cotton,Black Gram Dal (Urd Dal),101.2642966,37.99359009,16.36949399,23.27412708,81.52364633,6.910579482,60.63661747
Cotton,Black Gram Dal (Urd Dal),111.218072,38.60246421,17.58666333,24.68510355,82.79024785,6.576527169,64.22456859
Cotton,Black Gram Dal (Urd Dal),107.8880193,41.73422064,21.75040386,24.3563144,82.94067883,7.05801624,69.02107231
Cotton,Black Gram Dal (Urd Dal),112.5304603,48.93724334,21.27445077,24.17422447,78.84396459,6.707068183,95.06402579
Cotton,Black Gram Dal (Urd Dal),127.7738991,40.46541962,24.63756965,22.83068345,75.60492365,6.133040753,84.528394
Cotton,Black Gram Dal (Urd Dal),121.35382,47.67654394,15.5873198,22.63393611,81.95360523,6.073431703,99.52568445
Cotton,Black Gram Dal (Urd Dal),108.2669644,36.01159296,18.20977606,22.85428119,79.74303167,6.377414026,74.78439315
Cotton,Black Gram Dal (Urd Dal),101.7394906,44.56082101,23.77779954,23.20162537,76.96756234,7.654092521,60.76795196
Cotton,Black Gram Dal (Urd Dal),129.9753374,39.40517814,24.59411323,23.39939987,76.66527623,6.037924293,80.6315328
Cotton,Black Gram Dal (Urd Dal),106.8535319,46.72681025,23.79911758,24.04673747,80.78234924,7.209356386,74.99225342
Cotton,Black Gram Dal (Urd Dal),119.1735269,42.17284587,23.73780204,24.40097874,75.27641871,7.301637165,92.57964585
Cotton,Black Gram Dal (Urd Dal),104.2805287,38.6122223,24.71433387,24.23317482,79.91246588,6.49481464,63.31531905
Cotton,Black Gram Dal (Urd Dal),110.4524699,40.27408452,16.41704902,22.26914598,75.07934669,6.067256169,99.45607185
