main-crop,sub-crop,N,P,K,temperature,humidity,ph,rainfall
Grapes,Fig(Anjura/Anjeer),6.634881363,140.2839071,202.8648807,13.54319129,80.15703697,6.265220629,72.75164096
Grapes,Fig(Anjura/Anjeer),25.64135331,126.3844019,197.5337227,41.34815106,81.18607511,5.902522846,68.9789236
Grapes,Fig(Anjura/Anjeer),28.04331122,136.771037,203.833809,12.31362969,81.11059744,6.065565368,66.92108863
Grapes,Fig(Anjura/Anjeer),31.36217955,125.4911372,196.6081096,10.48313197,82.99766224,5.613359895,68.81495854
Grapes,Fig(Anjura/Anjeer),8.38489152,125.4133151,202.4037216,41.59861546,81.53644402,5.925766423,73.13327605
Grapes,Fig(Anjura/Anjeer),19.73284208,132.6887882,201.3393442,34.67669626,81.30393457,6.134185621,68.00671622
Grapes,Fig(Anjura/Anjeer),9.315014166,132.8110577,203.5514437,38.04487067,80.04316928,6.037034816,70.19936232
Grapes,Fig(Anjura/Anjeer),23.18804569,137.4918216,198.3992539,32.35443329,82.30275312,5.829678516,73.91459922
Grapes,Fig(Anjura/Anjeer),3.974364669,136.7539167,195.1864008,20.60866338,80.77951101,5.595475903,67.07026781
Grapes,Fig(Anjura/Anjeer),5.310307076,135.1625204,195.162399,20.19015454,82.55319886,5.870168651,71.43533323
Grapes,Fig(Anjura/Anjeer),7.78067758,131.8527846,195.9791487,16.6203684,82.49271247,5.821079858,70.32129222
Grapes,Fig(Anjura/Anjeer),26.23308386,133.556373,195.5011003,39.73962178,81.02257425,5.872845837,66.9345761
Grapes,Fig(Anjura/Anjeer),4.900538371,131.3341453,199.0801539,14.33176677,81.87115868,6.296163262,65.02907855
Grapes,Fig(Anjura/Anjeer),19.4008672,136.3744681,203.0969195,19.22637152,80.90533691,6.296754558,66.80521745
Grapes,Fig(Anjura/Anjeer),7.601349947,134.7900632,200.725783,21.2128693,82.96974342,6.029335041,68.11604675
Grapes,Fig(Anjura/Anjeer),21.60766537,134.69634,198.4673497,25.73647004,81.51541048,6.476046467,65.99755299
Grapes,Fig(Anjura/Anjeer),2.829082046,129.4201758,196.1151851,24.8426146,81.50041352,5.919693365,69.93862182
Grapes,Fig(Anjura/Anjeer),18.15168862,136.6637738,201.856409,11.64892517,81.21671598,6.417474192,71.26900534
Grapes,Fig(Anjura/Anjeer),4.022092559,144.4934996,203.749446,32.20888705,80.14996165,5.6962819,66.41744918
Grapes,Fig(Anjura/Anjeer),20.61287024,139.7706368,200.7930198,15.39826263,81.21601038,6.493884585,72.34389274
Grapes,Fig(Anjura/Anjeer),5.712922891,136.5650701,196.7805894,30.04810569,81.11010389,6.00699803,68.05309973
Grapes,Fig(Anjura/Anjeer),7.902539781,126.7238821,196.0109185,30.94261254,82.45293807,5.671994915,68.70015893
Grapes,Fig(Anjura/Anjeer),5.574823412,128.5192516,198.8682461,38.90011962,81.05498125,5.743135905,65.5334315
Grapes,Fig(Anjura/Anjeer),22.00137997,138.6366892,198.4275952,12.29181403,80.18651245,5.658970168,71.67266941
Grapes,Fig(Anjura/Anjeer),16.67721049,136.0305848,201.1393001,37.89106643,80.89668029,6.357944631,65.80973717
Grapes,Fig(Anjura/Anjeer),28.57373201,141.3965809,199.4480131,14.00110214,81.19589158,6.121701157,67.52229458
Grapes,Fig(Anjura/Anjeer),24.55360918,131.1192501,198.2978416,35.56899034,80.35944674,5.988193903,72.67698805
Grapes,Fig(Anjura/Anjeer),17.56102574,138.1072264,197.6300429,41.82372364,81.4457127,5.627980269,69.84265875
Grapes,Fig(Anjura/Anjeer),28.06328259,127.5839824,202.986357,18.21443426,82.0444521,5.67312135,68.01864836
Grapes,Fig(Anjura/Anjeer),7.678997829,134.371313,198.7109882,29.47147164,82.76394957,6.409112002,72.77687172
Grapes,Fig(Anjura/Anjeer),0.164099842,127.5711279,196.4410068,15.65689467,80.74286343,6.403423501,66.48985846
Grapes,Fig(Anjura/Anjeer),24.2796361,144.3317723,201.3065368,19.31873227,80.76705011,5.666980216,68.73743093
Grapes,Fig(Anjura/Anjeer),21.54244959,144.8645785,198.9094264,13.61797818,81.11300183,6.364912899,69.08571974
Grapes,Fig(Anjura/Anjeer),30.5388534,133.5027772,204.0875476,22.32782674,81.19208401,5.951495913,68.5466675
Grapes,Fig(Anjura/Anjeer),11.63282164,135.8012289,197.8261176,33.7602079,80.68645805,6.198655777,72.48728279
Grapes,Fig(Anjura/Anjeer),15.3387736,125.8882505,196.2240866,41.75160675,82.61949664,6.153538322,71.00148765
Grapes,Fig(Anjura/Anjeer),16.51827183,138.4105069,195.331824,13.51823089,80.90631912,6.457354361,66.08327039
Grapes,Fig(Anjura/Anjeer),33.47775413,140.4475149,195.149753,40.57288234,80.35661219,5.617623841,70.46301022
Grapes,Fig(Anjura/Anjeer),4.461193191,125.0196956,203.9257072,16.87189732,80.16295287,5.981493305,71.00431129
Grapes,Fig(Anjura/Anjeer),28.40537884,138.5161881,203.2454745,12.68745105,81.88407353,6.20280903,73.78763083
Grapes,Fig(Anjura/Anjeer),24.22627468,129.6464926,202.3507745,23.85825653,80.92195524,5.663930499,71.05683913
Grapes,Fig(Anjura/Anjeer),28.55494229,136.7320916,196.0409337,33.81000663,80.22370742,5.521232481,68.61551371
Grapes,Fig(Anjura/Anjeer),14.97713936,136.6844993,203.7468881,35.36842969,82.81280207,6.452554231,66.05478824
Grapes,Fig(Anjura/Anjeer),6.574011959,138.7853468,201.0464716,27.51158097,82.76098869,6.455755236,66.6080301
Grapes,Fig(Anjura/Anjeer),19.07352639,132.8093687,198.1029164,29.8720263,82.03403249,5.999967287,72.4154945
Grapes,Fig(Anjura/Anjeer),4.699501629,131.0153299,195.9517884,18.03462393,80.81436729,5.685080437,70.79211817
Grapes,Fig(Anjura/Anjeer),4.281029816,125.8914463,200.2270848,36.77445979,81.19200832,6.488678784,71.3656942
Grapes,Fig(Anjura/Anjeer),29.14548183,141.6977206,199.8016076,38.42858542,80.78281865,6.319910796,70.3342809
Grapes,Fig(Anjura/Anjeer),24.10820165,134.6777865,202.1219814,9.752921082,81.60837119,5.793545146,74.50660692
Grapes,Fig(Anjura/Anjeer),10.04601888,138.4979148,195.9691568,26.52196539,80.66081356,6.143688839,74.33921749
Grapes,Fig(Anjura/Anjeer),5.791271585,130.4429868,198.6010854,11.0490203,81.47359567,5.515981287,65.50989894
Grapes,Fig(Anjura/Anjeer),23.78091278,136.6377531,201.2108084,19.1476894,80.17119603,6.458010852,68.25933412
Grapes,Fig(Anjura/Anjeer),19.94734656,128.2002365,203.5723524,29.83944278,80.20411657,5.892585175,68.45757325
Grapes,Fig(Anjura/Anjeer),12.74062603,129.5766238,202.1634225,9.007582722,81.17785189,6.361742466,67.8873047
Grapes,Fig(Anjura/Anjeer),22.07710837,133.7810181,198.0333783,28.24138439,80.46273026,5.741567275,72.99924046
Grapes,Fig(Anjura/Anjeer),0.692913619,139.0104554,204.6472047,14.59603356,80.97304737,5.542244003,70.80751488
