main-crop,sub-crop,N,P,K,temperature,humidity,ph,rainfall
Green Gram (Moong)(Whole),Black Gram Dal (Urd Dal),29.42566885,37.85431741,22.6520447,29.97375739,83.07823319,6.903384905,41.52396433
Green Gram (Moong)(Whole),Black Gram Dal (Urd Dal),27.22123859,50.97699333,15.29249857,28.39540014,84.14981353,6.719179468,42.02991235
Green Gram (Moong)(Whole),Black Gram Dal (Urd Dal),37.62766887,37.99019635,18.70731939,28.40042229,83.47034775,6.784326362,45.98269814
Green Gram (Moong)(Whole),Black Gram Dal (Urd Dal),10.95845102,44.01494752,23.84163603,28.53115376,87.31400799,6.479732884,53.44427671
Green Gram (Moong)(Whole),Black Gram Dal (Urd Dal),25.31168055,37.62949367,24.80287757,28.00849815,84.07766368,6.742688446,36.28865053
Green Gram (Moong)(Whole),Black Gram Dal (Urd Dal),31.05101055,49.80594113,20.16573128,28.15951709,89.60838169,6.854659609,40.79433391
Green Gram (Moong)(Whole),Black Gram Dal (Urd Dal),2.887835423,56.48960914,24.44617076,29.03643464,88.46152932,6.775226593,58.67115903
Green Gram (Moong)(Whole),Black Gram Dal (Urd Dal),15.73248168,50.21276955,24.30868138,28.95319959,87.20568395,6.457673702,59.39713766
Green Gram (Moong)(Whole),Black Gram Dal (Urd Dal),10.75024818,53.49093014,21.19436005,29.56202251,86.09751841,6.551550948,42.1248575
Green Gram (Moong)(Whole),Black Gram Dal (Urd Dal),12.21370233,37.65692384,23.51987695,28.35248655,85.91240108,6.87078627,50.21424921
Green Gram (Moong)(Whole),Black Gram Dal (Urd Dal),17.50126894,49.8623443,16.32300885,29.42456452,84.74182977,7.007848516,59.20858762
Green Gram (Moong)(Whole),Black Gram Dal (Urd Dal),2.264700317,36.44812961,22.11319822,29.29638155,89.67761671,6.356388385,59.63080461
Green Gram (Moong)(Whole),Black Gram Dal (Urd Dal),2.219922003,54.40658656,21.58529864,27.85554045,82.81467303,6.276845866,37.37545202
Green Gram (Moong)(Whole),Black Gram Dal (Urd Dal),23.82725506,48.29393508,23.6830712,28.23532273,84.36862564,6.982429051,49.00540461
Green Gram (Moong)(Whole),Black Gram Dal (Urd Dal),38.45179272,37.21328868,20.48463733,29.83204504,84.37882589,6.583625151,55.37290088
Green Gram (Moong)(Whole),Black Gram Dal (Urd Dal),26.10601568,46.71787213,20.10932665,28.94852022,81.32754603,6.264636713,53.18545048
Green Gram (Moong)(Whole),Black Gram Dal (Urd Dal),0.384627296,53.43355093,23.73419177,28.72312476,85.39357837,6.667824947,58.34115815
Green Gram (Moong)(Whole),Black Gram Dal (Urd Dal),20.07122752,44.69639915,21.12798571,28.09264337,86.8231073,6.623401833,39.5934097
Green Gram (Moong)(Whole),Black Gram Dal (Urd Dal),26.55968693,55.3543609,17.5270092,27.02309942,80.50985632,6.546798727,36.28644067
Green Gram (Moong)(Whole),Black Gram Dal (Urd Dal),39.72264846,56.07011816,20.98320705,29.60562851,82.5805673,6.838027927,40.18437559
Green Gram (Moong)(Whole),Black Gram Dal (Urd Dal),16.58994702,51.27442848,19.21667929,27.47005421,87.29327301,6.76836515,57.14929442
Green Gram (Moong)(Whole),Black Gram Dal (Urd Dal),27.47616031,46.89078655,24.68821869,28.95424785,82.09769216,6.944313245,45.03352864
Green Gram (Moong)(Whole),Black Gram Dal (Urd Dal),25.55134068,52.10883659,21.20540187,27.67559866,84.60360303,7.074710359,49.5650061
Green Gram (Moong)(Whole),Black Gram Dal (Urd Dal),38.23382043,36.00342249,19.10279888,28.21236688,83.63669879,6.436126674,48.34097046
Green Gram (Moong)(Whole),Black Gram Dal (Urd Dal),28.69758588,47.12531042,22.05167394,29.1987128,88.50561686,7.16434908,46.0708494
Green Gram (Moong)(Whole),Black Gram Dal (Urd Dal),39.4812913,44.21345006,19.422745,27.33908243,84.925806,6.955857867,50.30843502
Green Gram (Moong)(Whole),Black Gram Dal (Urd Dal),24.35275045,59.31241101,22.02049192,27.54566276,80.03798176,7.159891572,43.13663499
Green Gram (Moong)(Whole),Black Gram Dal (Urd Dal),14.93426297,52.72422983,21.20722525,29.39653885,87.80267401,6.341732195,55.17795629
Green Gram (Moong)(Whole),Black Gram Dal (Urd Dal),8.214692042,56.82135656,19.65334409,28.94135439,82.96530836,6.962205495,41.38497194
Green Gram (Moong)(Whole),Black Gram Dal (Urd Dal),19.84289116,56.8941768,23.62355403,27.12411848,88.45539234,7.016565088,54.62397806
Green Gram (Moong)(Whole),Black Gram Dal (Urd Dal),28.12965111,38.97149638,22.2914785,28.99806803,87.74867883,6.768744099,58.62516071
Green Gram (Moong)(Whole),Black Gram Dal (Urd Dal),31.44841127,52.69248603,18.80273556,28.48261768,80.34595692,6.742054779,59.75549352
Green Gram (Moong)(Whole),Black Gram Dal (Urd Dal),10.36097687,40.81013307,21.13756095,27.66151674,82.06771397,6.709792089,43.97616082
Green Gram (Moong)(Whole),Black Gram Dal (Urd Dal),14.22408697,35.78535678,23.47047828,28.86855288,83.62741952,6.801507826,54.39821903
Green Gram (Moong)(Whole),Black Gram Dal (Urd Dal),36.4326445,44.3524589,22.51186355,28.56253892,83.93158195,7.015896621,55.14649706
Green Gram (Moong)(Whole),Black Gram Dal (Urd Dal),30.43909426,51.90847102,16.5619488,27.75448413,86.4002618,6.743283557,59.19493598
Green Gram (Moong)(Whole),Black Gram Dal (Urd Dal),24.49102772,48.49186991,23.15706588,29.3163058,85.38807756,6.915824719,44.55853949
Green Gram (Moong)(Whole),Black Gram Dal (Urd Dal),8.19406609,49.54517621,17.48778641,29.19949196,86.97370157,6.430166757,51.93300474
Green Gram (Moong)(Whole),Black Gram Dal (Urd Dal),8.415024638,45.14096275,17.42982076,29.69147456,89.11242113,6.685589758,49.74733413
