main-crop,sub-crop,N,P,K,temperature,humidity,ph,rainfall
Jute,Rice,67.74911722,50.59785732,39.33655993,23.79470122,88.08968903,7.325346639,165.2359493
Jute,Rice,81.70650122,51.44595286,37.38814841,25.95947536,72.74908709,6.168735315,172.1054953
Jute,Rice,70.07723901,43.15708241,43.01570605,23.38574304,82.63127624,6.568626686,177.8405567
Jute,Rice,71.03134323,37.24895943,38.13871566,23.53986139,87.52820002,6.110339245,154.2102452
Jute,Rice,77.91904731,51.08473708,40.85079897,24.07639541,76.93519779,7.379278736,185.7992211
Jute,Rice,69.62135873,40.6663111,35.48499164,26.15030705,74.8602629,6.441774459,188.2077416
Jute,Rice,91.12875129,40.94404666,41.24061806,25.38044212,89.72477832,6.511442202,182.630508
Jute,Rice,74.21366911,39.3959377,40.79200738,25.40843148,76.54019388,6.769560091,165.5700375
Jute,Rice,85.44006581,46.74797624,43.55101551,25.62629557,75.73854446,6.880719841,189.3007664
Jute,Rice,88.46023395,44.35786201,40.49973191,25.71790224,87.35065194,6.923251175,190.9394935
Jute,Rice,61.8778223,45.76014965,37.22697449,23.08757765,86.60433627,6.78352807,173.9601973
Jute,Rice,62.25035784,39.61105891,41.50619551,25.71208076,80.96734233,7.23504684,150.528861
Jute,Rice,92.17912772,38.07042446,40.34031375,23.80324589,85.91243366,6.290722796,181.4275849
Jute,Rice,66.85265201,43.32498748,35.73191178,26.15709108,79.10601265,6.84504837,178.9835439
Jute,Rice,74.47019438,47.45122605,42.9550624,24.37168616,77.57278857,6.211072121,171.3924818
Jute,Rice,85.30399335,41.25078751,44.22684363,23.36559384,72.59553492,6.258973969,167.5418966
Jute,Rice,65.84405186,49.7245279,44.95865665,26.71650843,72.95454678,7.047724145,177.8543095
Jute,Rice,86.80763262,39.75144862,42.45681257,25.95318036,77.21903237,6.573963782,172.5018776
Jute,Rice,71.79999872,48.97210809,36.33973047,24.21808502,83.94747613,6.27762445,177.1423207
Jute,Rice,93.69712316,38.99066039,41.571614,24.9902092,78.20117095,7.217749795,182.7491641
Jute,Rice,82.1261275,41.68407828,43.46928265,25.01210799,75.15526531,6.973010591,197.1396119
Jute,Rice,84.59864582,47.52769724,44.83473248,23.73052005,85.13860807,7.381741407,198.1827141
Jute,Rice,64.73075198,49.65888025,43.80865287,25.99527635,82.88953213,6.236330751,169.9477757
Jute,Rice,62.93255952,54.70982265,41.46132343,23.51057779,83.51247107,6.876849176,179.6530933
Jute,Rice,62.80186397,47.47500177,43.73501375,25.60579146,76.22710875,7.308269239,154.4897835
Jute,Rice,89.33227715,45.15270728,38.71891355,23.0344098,79.31300559,6.12059363,174.1134223
Jute,Rice,72.28876279,52.1095212,36.02093008,23.05303603,75.56931484,6.365833985,157.9851822
Jute,Rice,90.41307546,40.26206341,43.19333265,23.74331809,82.08285153,6.853294998,174.2523852
Jute,Rice,77.73218981,36.40509275,41.63938132,24.35925864,84.96812576,6.988334464,197.8006665
Jute,Rice,89.40142471,48.44240771,42.43036285,23.43390636,72.76779834,6.59640225,167.8924545
Jute,Rice,89.77463994,47.04032912,43.24102175,24.66268225,75.32409173,6.722145388,155.5670182
Jute,Rice,66.00068104,39.05616606,41.81951387,24.16102292,77.23694632,6.522719593,154.202518
Jute,Rice,78.41829597,36.55326514,35.54716027,25.5837756,81.67165164,6.627910834,186.9738851
Jute,Rice,89.02383903,35.20156992,41.19465863,24.49319113,78.00274977,6.120372242,194.4139045
Jute,Rice,63.48025348,43.06493001,42.65479494,26.08548597,85.17440888,7.403733467,198.3326558
Jute,Rice,64.54583651,50.89447,42.21405097,26.45720125,86.72799555,6.579023939,178.5117268
Jute,Rice,82.13002561,48.67107075,44.09971683,23.45767926,85.54896514,6.338328856,175.5766594
Jute,Rice,82.48720736,42.79681674,43.47964415,25.00475673,87.77798525,7.176137843,182.7289256
Jute,Rice,92.1968099,37.91612899,36.57407604,23.9418674,77.40805864,6.250911514,152.2949179
Jute,Rice,84.62071184,44.27396536,44.7724097,24.30003826,84.93937239,6.345982091,178.5511441
Jute,Rice,88.0141469,53.79339883,43.98385279,26.42243648,88.99578253,6.3102221,191.7425571
Jute,Rice,83.99070065,36.97746392,42.16720003,26.6731978,74.02303193,6.183061207,156.8065825
Jute,Rice,63.54600532,39.91212556,41.06583696,26.97765704,78.60773584,6.592350776,164.1125141
Jute,Rice,93.79909474,48.97681926,41.56489302,23.59861155,78.57527246,6.756261362,175.6298811
Jute,Rice,81.65327284,48.14211885,43.07836838,24.75769056,79.76221137,6.76561555,196.8520668
Jute,Rice,93.46233405,38.0804709,37.15051979,24.6408798,77.43029393,7.086114575,178.001752
Jute,Rice,87.95956343,52.24219393,36.18949595,25.05262209,82.31872954,7.30164635,199.1593916
