main-crop,sub-crop,N,P,K,temperature,humidity,ph,rainfall
Karbuja (Musk Melon),Water Melon,104.6324814,20.16361871,49.35554979,28.97480247,90.00287122,6.285116753,26.05310595
Karbuja (Musk Melon),Water Melon,103.9918208,13.61349289,50.95798901,28.28994997,93.93325147,6.762167772,21.53326299
Karbuja (Musk Melon),Water Melon,105.1763972,15.47716135,53.28222711,28.14618381,91.67752207,6.289746484,22.63817083
Karbuja (Musk Melon),Water Melon,83.33562464,11.45646286,53.9403537,28.85508194,94.30730766,6.712320328,28.30994256
Karbuja (Musk Melon),Water Melon,87.14678818,17.58647363,52.9146894,29.42319977,93.48521637,6.01619021,28.61767466
Karbuja (Musk Melon),Water Melon,100.5345911,21.93341949,50.82775006,27.12035307,91.7370079,6.654264331,29.55475026
Karbuja (Musk Melon),Water Melon,102.5872378,27.85946896,49.56023094,28.4692915,90.99212098,6.021643876,24.83232549
Karbuja (Musk Melon),Water Melon,86.76049799,27.93157212,45.48435387,29.41555621,92.88724088,6.403515088,28.81663594
Karbuja (Musk Melon),Water Melon,119.6890492,22.60032695,52.25519492,29.56835843,94.04919311,6.032915167,27.75785125
Karbuja (Musk Melon),Water Melon,105.2179582,7.530911564,51.68507713,28.37673012,92.73983508,6.10712073,26.6685765
Karbuja (Musk Melon),Water Melon,110.7380511,17.79794235,51.2662399,29.49339605,91.59024547,6.293525733,28.53108211
Karbuja (Musk Melon),Water Melon,94.51450457,21.69715042,46.66962166,28.32642846,91.94470391,6.153780732,27.85374958
Karbuja (Musk Melon),Water Melon,113.3611423,17.79384312,50.80157017,27.72430042,90.61296006,6.742490248,29.25300248
Karbuja (Musk Melon),Water Melon,95.11401329,16.13062303,50.25595009,27.17557515,90.35986728,6.04490039,21.08292562
Karbuja (Musk Melon),Water Melon,105.9579267,10.07176156,48.56033893,27.86731152,94.24942619,6.227725341,23.69299583
Karbuja (Musk Melon),Water Melon,104.5814245,13.37773598,49.4009487,28.5633361,94.7742424,6.231728985,22.81249151
Karbuja (Musk Melon),Water Melon,115.5070092,6.782321019,49.15180579,28.39194035,94.47167224,6.367399259,28.35803915
Karbuja (Musk Melon),Water Melon,93.2380279,10.23126326,54.36073865,29.32488895,90.71582069,6.664964749,20.43438869
Karbuja (Musk Melon),Water Melon,99.44431993,12.65992805,52.5815699,28.46661052,92.25002909,6.50561393,26.57681232
Karbuja (Musk Melon),Water Melon,103.2154262,14.45897288,52.57211174,27.29448148,94.59964229,6.683611652,22.80576649
Karbuja (Musk Melon),Water Melon,103.299163,15.88226302,48.39349227,29.79684231,91.83338285,6.20241026,28.18708388
Karbuja (Musk Melon),Water Melon,118.5978333,6.399448201,50.56150995,27.67607958,94.8396665,6.753963954,23.81183508
Karbuja (Musk Melon),Water Melon,80.61711931,22.91766902,45.97517986,27.19282896,92.9514404,6.096294182,23.83584954
Karbuja (Musk Melon),Water Melon,86.66762371,28.82882285,52.48680224,29.82508536,93.51706122,6.096129808,26.41604841
Karbuja (Musk Melon),Water Melon,110.5983945,18.51824958,45.50523497,28.16319027,91.63094269,6.011461984,23.08277474
Karbuja (Musk Melon),Water Melon,116.3577719,22.81287552,46.24142649,27.35035244,91.99226773,6.412988878,27.68836272
Karbuja (Musk Melon),Water Melon,86.67993617,13.66359418,52.33410871,27.8147841,92.21901371,6.078974463,28.38825193
Karbuja (Musk Melon),Water Melon,107.9796421,9.290721832,49.90493508,28.01281599,91.09154365,6.316325799,24.64286388
Karbuja (Musk Melon),Water Melon,99.51534296,12.14718093,52.71479835,29.42100659,90.31756078,6.437147623,22.57174361
Karbuja (Musk Melon),Water Melon,109.8722172,12.5091065,53.30227139,29.52911195,93.04684775,6.404698705,25.62536167
Karbuja (Musk Melon),Water Melon,116.4871495,20.83610773,54.89827755,27.39628176,94.21292451,6.58529044,21.97922138
Karbuja (Musk Melon),Water Melon,113.9873345,24.73614427,53.7388577,29.07203032,92.62943931,6.770547458,20.09441098
Karbuja (Musk Melon),Water Melon,94.15810445,21.52405799,52.88071952,28.80956628,92.16867673,6.445729983,28.45611279
Karbuja (Musk Melon),Water Melon,105.8640006,23.27413256,47.31665434,27.17144852,92.74547714,6.497780163,25.56924281
Karbuja (Musk Melon),Water Melon,90.19445742,5.009965906,52.35784462,27.10511999,90.94145537,6.253381001,26.51674041
