main-crop,sub-crop,N,P,K,temperature,humidity,ph,rainfall
Maize,Jowar(Sorghum),77.64552737,36.64295795,18.44603699,24.00809638,59.72039705,6.400138185,77.50097903
Maize,Jowar(Sorghum),71.88397694,42.49960842,24.36540168,23.32633877,73.59894829,5.502475149,69.05687986
Maize,Jowar(Sorghum),83.73221803,39.53336822,21.07316762,21.90178221,66.5685094,5.524263359,91.37532625
Maize,Jowar(Sorghum),69.42601923,44.81067571,16.50985268,24.99646969,63.59948774,5.950877613,100.2286417
Maize,Jowar(Sorghum),78.24552379,38.52091331,22.92852212,20.59840457,58.27597208,6.168051532,92.24168653
Maize,Jowar(Sorghum),96.56804763,50.89899452,17.23361146,23.14344838,66.67453775,6.145616426,68.37671438
Maize,Jowar(Sorghum),82.63207048,40.8100858,16.91827012,22.18434985,62.60412764,5.560639114,82.2157245
Maize,Jowar(Sorghum),83.59015237,46.87003684,20.53196024,22.58174008,73.60651182,6.243042188,71.04591838
Maize,Jowar(Sorghum),81.86906347,53.96811221,18.43510086,23.00869897,66.8400376,5.609818678,64.58516297
Maize,Jowar(Sorghum),81.07725254,44.70007131,16.60909248,19.6750807,55.16435805,6.19942725,82.6162272
Maize,Jowar(Sorghum),62.76484996,39.38276244,22.30925031,19.09423664,69.80540936,6.800635207,86.94340942
Maize,Jowar(Sorghum),63.7188806,51.92550297,18.53810753,24.42486906,57.94036506,6.195816534,96.99285995
Maize,Jowar(Sorghum),95.62997373,42.02899696,24.90691176,18.78542027,56.9065855,6.919616918,87.90478872
Maize,Jowar(Sorghum),91.28923389,47.20171098,22.41198079,18.58442323,68.57278101,6.481613627,96.93253742
Maize,Jowar(Sorghum),76.42448332,46.18065022,15.23047404,25.56531533,68.00705521,5.64414841,83.17350003
Maize,Jowar(Sorghum),75.81031887,35.99223578,17.59000096,25.5236795,63.78830186,5.754164564,64.2214787
Maize,Jowar(Sorghum),75.1529106,43.46422541,24.93430767,21.87256462,73.75606338,5.678752249,106.5428711
Maize,Jowar(Sorghum),73.69294682,45.99580833,15.37644107,24.63590707,66.65411203,6.538478731,69.88342091
Maize,Jowar(Sorghum),99.91512096,49.04714533,23.55672908,20.53526099,65.8330276,6.407221643,64.20929774
Maize,Jowar(Sorghum),88.03947031,41.26280937,17.72391202,19.14217762,67.10796315,6.603308173,100.4917586
Maize,Jowar(Sorghum),75.21201105,49.39981066,24.24171068,21.95681239,74.39348775,5.862529525,63.64432214
