main-crop,sub-crop,N,P,K,temperature,humidity,ph,rainfall
Mango,Guava,16.09040412,15.1325586,33.36586989,34.17727373,47.16469645,4.749344709,97.86516863
Mango,Guava,3.825619698,36.78372372,28.91772494,33.00637177,45.9935935,6.505848132,90.51571028
Mango,Guava,32.61905097,25.85208398,29.07911042,27.28921568,48.5439214,5.986998357,94.72064102
Mango,Guava,6.704003099,20.73493465,33.98950317,35.41963105,52.76888441,6.977415962,98.54246944
Mango,Guava,20.76408012,30.01336224,33.17551,35.17694543,50.22730623,4.740419527,90.03323112
Mango,Guava,27.58039359,34.77788561,27.10665566,27.14067072,48.17058195,5.240753912,93.47839301
Mango,Guava,6.259027292,18.80783621,31.31034881,34.91524455,50.00923628,5.53720495,92.83340656
Mango,Guava,13.24960169,32.46025034,29.97629872,33.84305219,46.6764845,6.095099068,89.55310211
Mango,Guava,4.374810949,35.13977906,29.30645152,31.54119233,54.42073426,4.903060143,95.5731061
Mango,Guava,30.64068866,30.74544713,32.33058578,34.22072956,46.03319313,5.446174581,90.62103409
Mango,Guava,9.29521048,25.69422341,34.84956024,32.75188495,51.99782493,4.864924404,89.03937261
Mango,Guava,20.98439962,35.78457888,28.88386079,31.48483473,45.80190837,5.780278662,95.64042474
Mango,Guava,18.14259278,30.89859925,27.77611631,27.05255368,53.60144918,5.606506124,91.46617805
Mango,Guava,13.05556813,21.95525922,33.87710108,29.67431039,45.45850955,5.241565573,89.5774408
Mango,Guava,34.97436538,16.3769298,25.43182646,28.31863102,49.36785781,6.034786511,91.38362763
Mango,Guava,25.80338611,38.0506604,28.19536739,33.58206467,46.06026197,6.971380431,94.95823443
Mango,Guava,29.85283673,39.57667326,31.24058965,31.60732291,54.58130646,6.086814172,99.41091294
Mango,Guava,26.26257557,16.8443122,31.34050511,35.05353585,46.25912894,5.822125034,93.13118325
Mango,Guava,23.89909878,23.96580009,25.14933881,35.911497,50.01947231,5.782110553,93.89652587
Mango,Guava,23.45768523,32.1370927,27.81400803,35.86825992,45.54774279,6.794804779,91.45416403
Mango,Guava,37.07669324,32.55254691,31.73260654,28.652945,45.78395646,6.022549099,91.94350502
Mango,Guava,31.63961069,26.13808508,29.47464522,34.6100599,47.81444821,6.01664064,89.16526197
Mango,Guava,26.6605209,17.10515614,34.05973415,28.91724504,48.47891839,4.925717201,94.61605757
Mango,Guava,38.32701228,38.49981089,32.1197892,32.0144974,48.73928634,4.668112817,98.3683324
Mango,Guava,4.62217467,28.15786895,34.70024786,32.99133716,48.81941558,5.675458171,99.17372856
Mango,Guava,32.05481458,20.13980815,26.08417177,33.69056012,53.96892568,6.478050937,94.76023093
Mango,Guava,8.02048152,36.79564648,31.49633889,32.88550178,46.94194533,6.065555531,97.46445728
Mango,Guava,39.45948261,16.13443616,32.20061316,28.24386845,51.19776773,5.193022803,90.98448949
Mango,Guava,33.70228985,22.89397739,31.3356573,32.83386324,49.99647817,6.455160443,92.62008052
Mango,Guava,31.63029481,29.94757956,28.80008443,31.88012931,52.26966345,4.917966458,89.22084157
Mango,Guava,6.375566438,22.89969013,34.43321751,29.6683842,50.32326799,6.755935667,99.19919677
Mango,Guava,3.153790284,38.8580616,27.35741028,31.93175274,52.86844901,6.360981336,92.62259513
Mango,Guava,39.60316682,21.04357812,31.96190115,35.21834397,48.59788811,5.437370961,96.38746247
Mango,Guava,19.37920753,33.73702624,28.20415993,35.79241511,52.9803863,4.610964256,97.52550097
Mango,Guava,18.39600602,28.6427231,25.05118129,28.75374739,47.85264742,4.716847608,96.55238
Mango,Guava,20.8572506,33.22476044,27.48874858,33.2249933,45.43532863,5.955041635,89.12720003
Mango,Guava,33.95963704,25.28038485,33.99754357,31.26887006,50.84085503,4.831003841,95.38644468
Mango,Guava,2.130469134,36.50981628,26.37750788,34.30173391,53.3826884,4.690510876,96.21749332
Mango,Guava,20.18190266,22.10314749,34.13000419,30.58972035,52.72162956,4.691312162,93.73243487
Mango,Guava,2.763739901,35.73600664,25.10046738,31.76065253,49.04344002,5.94943249,98.99445805
Mango,Guava,26.52819334,20.37135182,33.73122674,32.96331249,53.78401939,4.723313946,93.28970518
Mango,Guava,29.0595097,24.90389057,29.11303913,27.25650024,53.90829969,4.522885242,99.74623448
Mango,Guava,16.37753396,33.01101777,32.43851396,29.89279415,51.87172492,4.693494841,90.86622333
Mango,Guava,4.493210929,22.31536018,33.48952826,34.99833281,52.46370609,6.087435937,100.5428084
Mango,Guava,29.16384859,29.23052475,30.12053567,28.04096102,45.30247091,5.928388088,90.34262505
Mango,Guava,38.49401723,31.37290761,32.05115165,28.82126454,52.6557553,5.728796889,91.04991202
Mango,Guava,26.48199979,23.88670193,26.69766798,35.63609872,52.95853769,6.608506734,97.76355373
Mango,Guava,37.14857678,35.6106572,26.22020582,33.40736319,52.32122119,4.658943089,95.91753574
Mango,Guava,17.50581159,24.80262136,27.773138,28.89519867,54.40970508,6.805457908,93.15500931
Mango,Guava,19.86200008,35.01351641,25.19943895,29.81648145,50.57689527,6.754466598,91.91078247
