main-crop,sub-crop,N,P,K,temperature,humidity,ph,rainfall
Moath Dals,Green Gram (Moong)(Whole),30.32400617,46.56627844,23.60100005,28.22170988,58.06851994,9.889083019,51.78089503
Moath Dals,Green Gram (Moong)(Whole),19.81162462,39.31316833,19.23778652,27.5257913,61.71138256,3.715762496,45.71093252
Moath Dals,Green Gram (Moong)(Whole),32.06012234,54.61709391,15.31927513,25.34528953,46.48427612,4.939300291,51.84473015
Moath Dals,Green Gram (Moong)(Whole),3.12499148,53.04175006,22.97414019,30.55995915,62.5564013,6.120699769,68.3698313
Moath Dals,Green Gram (Moong)(Whole),30.86010184,54.07117395,19.73144746,30.80622467,44.47030123,9.271563032,60.48924499
Moath Dals,Green Gram (Moong)(Whole),6.240271759,39.19145973,24.51147932,29.66597353,41.16650636,3.585009859,49.23734622
Moath Dals,Green Gram (Moong)(Whole),39.40481646,59.91899971,19.10012935,28.3987996,49.90988918,3.871809729,71.63800172
Moath Dals,Green Gram (Moong)(Whole),5.480398535,53.38043796,19.70234374,26.34183246,63.42392937,4.787907312,46.27584338
Moath Dals,Green Gram (Moong)(Whole),38.9475558,54.97133571,22.82555989,26.92168483,61.64803924,6.49423962,41.05336257
Moath Dals,Green Gram (Moong)(Whole),7.817294491,47.26952686,18.66052487,31.5934261,54.68491703,7.286950774,41.72854744
Moath Dals,Green Gram (Moong)(Whole),33.005143,36.49957606,20.39203854,29.40185827,45.76506122,5.273560221,48.90879652
Moath Dals,Green Gram (Moong)(Whole),21.92568681,50.38185572,15.4532806,31.46264306,45.32638147,5.427868505,41.44278002
Moath Dals,Green Gram (Moong)(Whole),38.44088133,36.69479442,23.50762655,24.61026984,48.11076922,6.208035784,49.98355958
Moath Dals,Green Gram (Moong)(Whole),33.46070237,49.13498873,23.70841069,29.95755857,44.19174784,8.362042116,41.8435795
Moath Dals,Green Gram (Moong)(Whole),3.35662518,52.33459437,22.40629903,29.73790857,41.93263441,6.404963939,69.24292426
Moath Dals,Green Gram (Moong)(Whole),6.343432743,36.85708633,24.05246673,24.52445095,58.00733918,5.097469972,59.29308827
Moath Dals,Green Gram (Moong)(Whole),17.603132,58.44526162,21.11055547,29.1926455,58.91790217,9.823750557,59.84091297
Moath Dals,Green Gram (Moong)(Whole),19.53944893,41.44184416,19.88404563,25.9565575,51.61842296,3.732880915,69.50561727
Moath Dals,Green Gram (Moong)(Whole),19.35513301,39.04170688,20.04051861,26.69204436,45.17079016,5.596818781,59.01707923
Moath Dals,Green Gram (Moong)(Whole),37.99776065,54.65356065,23.14496644,29.69950859,43.62761475,8.161047982,57.9134601
Moath Dals,Green Gram (Moong)(Whole),26.43150978,48.76099983,17.0943241,30.7314823,44.02379217,6.608532099,64.90853812
Moath Dals,Green Gram (Moong)(Whole),11.31560763,47.85694788,17.21617911,24.05206545,63.66391602,6.673486764,50.19496464
Moath Dals,Green Gram (Moong)(Whole),25.79212734,41.44736949,16.63603715,30.82990462,62.11710108,5.817476827,68.50854919
Moath Dals,Green Gram (Moong)(Whole),24.6215252,36.11428779,21.3699057,29.24418262,58.27090736,7.475791807,39.05216294
Moath Dals,Green Gram (Moong)(Whole),35.91480685,37.00610775,16.14037073,27.51545509,46.88603122,3.624512731,34.38902085
Moath Dals,Green Gram (Moong)(Whole),33.87941785,58.52713389,18.26117698,25.14487237,45.19232953,8.001042662,45.38554285
Moath Dals,Green Gram (Moong)(Whole),2.593461701,45.08755728,17.70883688,27.55420525,49.20850296,7.471929884,54.12563128
Moath Dals,Green Gram (Moong)(Whole),3.230847052,44.57103015,19.63547016,31.16718045,54.42929367,3.870009234,46.6196677
Moath Dals,Green Gram (Moong)(Whole),1.172397618,35.66136782,15.24413743,30.17807572,53.45061372,7.365935399,37.70076628
Moath Dals,Green Gram (Moong)(Whole),24.13574083,35.36026692,20.4035514,28.36864627,60.54064639,9.460353272,50.84177082
Moath Dals,Green Gram (Moong)(Whole),35.48570006,52.8846374,19.37116028,25.29133867,60.1232632,5.857196857,51.58658267
Moath Dals,Green Gram (Moong)(Whole),4.786170947,59.3935571,16.66415878,27.96289988,51.93818488,8.265391388,47.14876584
Moath Dals,Green Gram (Moong)(Whole),11.27862426,53.1620457,15.75205606,27.86929183,48.56338355,5.851489432,59.07305255
Moath Dals,Green Gram (Moong)(Whole),0.548439281,47.79656708,19.03111783,26.29852501,61.56589558,8.088831527,49.23560823
Moath Dals,Green Gram (Moong)(Whole),36.15348128,36.80481768,19.7409897,26.86729434,50.65233866,8.420052747,65.81628981
