main-crop,sub-crop,N,P,K,temperature,humidity,ph,rainfall
Orange,Lemon,20.49908461,14.56141271,8.278826597,18.39424986,91.94400945,6.072271784,106.0642121
Orange,Lemon,5.250998806,6.37069575,9.932059088,19.76697177,91.7036865,7.777518122,100.5434756
Orange,Lemon,12.63722638,13.01199686,14.64335323,12.38245066,91.95253918,7.297713306,100.8211883
Orange,Lemon,23.54032363,6.440900603,14.16648035,21.59659531,93.83168438,6.560893597,106.7244407
Orange,Lemon,23.78714615,16.34788841,5.212425175,28.12959892,94.82328698,7.283642802,104.9976739
Orange,Lemon,35.1428281,15.03731379,6.268635751,25.44691438,94.98342339,7.052889259,111.0906181
Orange,Lemon,12.66834635,10.46864026,7.986228741,13.58075134,91.73971977,7.594732257,117.8246752
Orange,Lemon,22.76369015,27.30636877,11.18616474,24.59289024,93.40597918,6.173172904,117.8804954
Orange,Lemon,31.62905515,20.50657719,8.318976395,14.85581493,94.92339209,7.57095205,105.4913009
Orange,Lemon,39.92633928,22.77014968,14.73897011,15.78367474,93.98747041,6.867522906,105.3477393
Orange,Lemon,20.60761719,13.50059931,6.750309857,12.60364381,92.60816588,6.876225227,117.9681645
Orange,Lemon,22.3097738,18.92353978,11.4237636,31.61508724,90.84763303,7.68969203,102.9205244
Orange,Lemon,30.0179918,6.881873934,6.533630766,29.87087397,94.6493926,7.721058356,115.5409392
Orange,Lemon,1.506560047,29.79077759,5.437429672,21.00029305,94.90131956,6.877129037,102.8034742
Orange,Lemon,14.71914998,8.769891947,5.684105564,28.72278358,93.02951932,6.732039536,116.7577406
Orange,Lemon,13.20419077,16.7074829,13.89756137,11.51082922,92.58154844,7.647964435,118.8900152
Orange,Lemon,4.001327798,26.07987815,13.31956094,23.26029772,94.93478329,6.835739031,104.1645469
Orange,Lemon,32.28868497,15.94863168,14.31852561,20.54639523,90.72619198,7.26889647,100.1062112
Orange,Lemon,39.69253761,6.046836454,7.318303113,28.46068974,94.90456457,6.964925951,100.4237062
Orange,Lemon,21.82373631,26.40627873,9.375879679,27.34031794,92.15690797,7.097519934,102.6401606
Orange,Lemon,27.97892629,27.88056204,8.682379285,28.6806833,93.16316377,7.346893326,109.2264584
Orange,Lemon,31.28045101,7.13193181,12.44634334,30.66392764,91.5009267,6.890579478,101.5155144
Orange,Lemon,35.84649005,6.60935138,13.34386578,31.719329,94.71653298,6.948945229,116.9861596
Orange,Lemon,0.233897735,25.09800983,12.03399544,20.83394081,90.41369546,7.125073307,109.1982205
Orange,Lemon,15.85627058,21.88397845,5.560031423,18.732873,90.13332903,6.032964921,108.978819
Orange,Lemon,38.28169394,27.98653064,13.54214737,22.50658869,90.65548946,7.790595091,107.0974136
Orange,Lemon,3.574641283,19.58163776,6.302409899,21.71382823,90.16236836,7.203100645,110.3627562
Orange,Lemon,16.26111449,25.31351277,12.26814143,24.1781463,91.95797767,7.565474493,108.9456149
Orange,Lemon,27.89236244,17.86570917,9.474225301,14.4699509,94.15799255,7.374022739,109.3198512
Orange,Lemon,13.14507393,13.92269926,10.92873187,15.9552389,91.47763837,7.660581772,116.9053828
Orange,Lemon,24.44024685,22.24262953,13.2743967,10.37687481,93.58939926,7.334774326,110.8200026
Orange,Lemon,21.54493503,15.64697497,6.266339198,28.08974315,92.48658553,7.703333925,103.7681468
Orange,Lemon,6.288518762,28.83712903,9.483831733,21.79504534,90.87175882,7.821052313,110.6918289
Orange,Lemon,34.46791133,7.270233757,6.138428565,20.90494032,93.80010312,6.833236072,104.2192542
Orange,Lemon,38.1052621,20.59148166,8.547914544,17.04369753,93.01780681,6.341225596,110.301012
Orange,Lemon,24.05218216,27.66956637,11.20420275,34.93080832,92.3623993,6.363088683,115.8982085
Orange,Lemon,20.1730087,26.45081713,6.085236865,13.84839812,90.90399503,7.046279085,110.921497
Orange,Lemon,21.55516372,21.26323076,8.40642142,34.59022711,90.47276261,7.920526446,105.9373642
Orange,Lemon,37.46781378,16.40509754,7.765575192,23.39879965,93.69060765,6.187867261,109.8770613
Orange,Lemon,29.43127064,28.45086284,6.826134816,14.14297569,92.05511973,6.577966913,117.6845453
Orange,Lemon,29.28389418,23.10236003,8.094497719,24.26755597,91.90729391,7.893283013,100.8481679
Orange,Lemon,38.08272874,18.44739945,9.271327805,26.75781799,94.31026644,6.890386037,118.3415341
Orange,Lemon,12.48414842,5.09352429,10.36875541,24.64973332,94.92294818,6.98109916,100.0220149
Orange,Lemon,1.473780346,24.79986926,12.49453674,33.91370265,93.21857202,7.110032895,116.1396853
Orange,Lemon,3.116479644,19.27132741,11.53218453,21.27577097,94.78442893,7.593525774,107.0757041
Orange,Lemon,30.40562206,16.10798369,14.06302461,13.94518391,90.0042045,7.452018419,115.9473956
Orange,Lemon,22.78593615,5.24025966,10.46759318,11.18201348,90.91010239,7.141606783,119.4544099
Orange,Lemon,16.32813183,17.97968513,12.61209049,19.33845422,94.04989314,7.096435159,101.1131079
Orange,Lemon,23.41246599,24.47028793,10.23313524,25.29645232,90.33221659,6.218929245,114.067983
Orange,Lemon,39.18564509,16.29419482,13.02752939,28.0203995,91.76007961,6.414694673,111.2959287
Orange,Lemon,37.33047777,25.67240871,13.94787361,13.89819424,94.64448099,7.529264922,105.8793399
Orange,Lemon,6.711550602,5.196782986,6.893824403,30.90776191,90.73430469,6.513371496,101.1684989
Orange,Lemon,29.76500355,8.76137522,7.725348645,10.76484644,91.12532023,6.012442198,101.0837045
Orange,Lemon,34.11731723,13.33984822,12.08189359,11.27205354,93.96158605,6.422011348,113.671087
