main-crop,sub-crop,N,P,K,temperature,humidity,ph,rainfall
Papaya,Banana,60.51795369,53.46540625,53.53138123,27.49305498,90.53902527,6.739543028,231.4117022
Papaya,Banana,51.57398913,48.42479026,46.88664826,31.91423863,91.41771863,6.951326702,186.1039354
Papaya,Banana,49.92284526,47.12730129,54.13789564,25.20191084,91.53895936,6.68108992,72.54839385
Papaya,Banana,37.68381646,63.24712656,51.51148407,30.18634178,92.44151594,6.549680551,194.4439117
Papaya,Banana,46.51139834,58.48229885,51.03015172,31.23229142,90.97570207,6.983067245,73.68318862
Papaya,Banana,55.61528667,68.784735,45.64358986,37.53750355,91.11290309,6.63275062,129.7863465
Papaya,Banana,39.478588,53.89123385,51.78221833,38.45862497,90.29730247,6.998814195,188.4680551
Papaya,Banana,48.20900925,47.16277269,48.60702001,38.71469235,92.25056327,6.502264322,136.6018138
Papaya,Banana,41.95034034,48.92420102,49.80460828,35.75508635,94.78876293,6.618427123,60.71769104
Papaya,Banana,47.22907731,57.25383854,52.78695639,32.76285164,91.90357989,6.534642017,118.6320606
Papaya,Banana,51.55055628,57.42339593,54.06659791,25.41639061,94.81915729,6.736073185,105.9327078
Papaya,Banana,50.90072339,56.95340877,45.27382292,31.35123795,90.53270964,6.903723088,228.0362507
Papaya,Banana,41.41750471,57.49025931,45.9470134,39.02931295,90.92063317,6.766260448,201.3958733
Papaya,Banana,69.74860492,52.00968325,46.76580911,29.27021448,93.94245367,6.834043562,201.1986381
Papaya,Banana,45.49113864,69.06967151,45.65877136,28.63467003,91.57951073,6.526874074,218.6953897
Papaya,Banana,52.49286691,62.49577062,47.10955333,29.55668664,92.29910406,6.809107422,61.2974925
Papaya,Banana,56.34197756,59.50656391,47.59776563,41.6498757,91.31600855,6.656437848,110.2845807
Papaya,Banana,40.21699193,55.1385978,48.3023343,26.84093995,93.73069778,6.516262799,189.5092846
Papaya,Banana,69.55962537,51.07338972,54.67256409,24.22266356,90.73219921,6.89675525,57.5415593
Papaya,Banana,48.44615518,62.13219919,50.47032608,31.37994221,90.22539201,6.59637708,224.9272935
Papaya,Banana,69.38525371,68.75606337,54.6835292,40.97510192,93.28300071,6.676200666,86.31382904
Papaya,Banana,31.30141282,59.53126562,51.22010818,30.55349472,94.39758211,6.950447956,169.1221546
Papaya,Banana,68.61050144,48.97745141,48.38103669,38.99190629,90.00826449,6.586433293,95.13055653
Papaya,Banana,62.06962232,68.86119479,54.9068922,29.04053045,92.97943248,6.581953335,125.6573632
Papaya,Banana,58.8410348,63.41471256,53.98066758,40.85398385,93.10586598,6.675814982,119.2081885
Papaya,Banana,69.3796755,55.12204955,52.30229703,27.92010959,93.30125256,6.888561304,196.8337015
Papaya,Banana,40.8339056,50.10969124,52.30215845,32.35752849,93.53227793,6.725916813,222.5829377
Papaya,Banana,41.50640334,66.63156053,47.01595052,40.95541207,90.1040116,6.860139331,159.9816959
Papaya,Banana,34.08991277,53.53776695,47.6275142,29.57558542,92.85144512,6.934423099,140.0599553
Papaya,Banana,63.119397,49.62543805,51.69729635,29.47828326,94.66758926,6.567811312,198.4065392
Papaya,Banana,35.44740198,66.1041503,54.82210108,28.76861742,93.49071184,6.713443993,143.770133
Papaya,Banana,32.30896736,49.01655374,45.1191538,26.81417971,92.92176725,6.579979408,144.1212518
Papaya,Banana,65.86370842,48.02951374,53.70281743,26.63791075,93.2384899,6.823404517,182.0660655
Papaya,Banana,49.68505338,65.44380091,45.30579413,27.71898028,90.11407278,6.740778883,154.5774991
Papaya,Banana,64.30191237,61.17316042,52.90658078,34.22573677,91.03095884,6.947012616,96.1881091
Papaya,Banana,64.27168587,61.02187206,53.89177686,34.16809779,93.59382733,6.938606873,196.0888259
Papaya,Banana,61.59224045,62.92011747,54.35201497,34.65203166,91.02927462,6.527591839,113.875856
Papaya,Banana,42.90652547,54.53544056,52.13605109,35.26929098,91.04130475,6.737947414,212.5614719
Papaya,Banana,60.83272361,49.08904285,50.12582769,30.52949662,91.27049013,6.868783365,217.2800261
Papaya,Banana,36.02801739,56.99394624,54.06524583,25.05078198,90.8671398,6.906259097,80.75126524
Papaya,Banana,47.10243663,61.77450618,49.57581526,39.84735951,90.20918592,6.833167771,44.13601847
Papaya,Banana,39.79768601,59.7560238,46.51641806,42.52989343,94.30932484,6.5298459,195.0092138
Papaya,Banana,59.74429564,59.41685605,52.37391684,30.62236416,92.78464961,6.616863928,55.22846256
Papaya,Banana,50.79177702,51.43346765,53.87429478,35.30561484,90.42548554,6.864171448,75.52122069
Papaya,Banana,38.53221952,49.77100743,48.57627829,42.28323618,90.32984419,6.780717882,49.19382598
Papaya,Banana,32.76215644,46.51305705,54.91836958,41.43114768,94.88877989,6.603530069,127.3060563
Papaya,Banana,50.55505788,67.35397534,48.455459,28.09910852,93.09533531,6.505490748,148.6396941
Papaya,Banana,31.95918641,59.92048443,45.91354236,32.78417718,90.06151948,6.619949881,219.1429505
Papaya,Banana,31.39422065,54.46887757,46.77663622,23.28698898,94.63565962,6.538004425,115.1537866
Papaya,Banana,52.43678337,57.78808835,50.86499765,27.23351143,92.37842988,6.764107881,42.4818847
Papaya,Banana,48.4153581,61.93860796,49.71822386,26.90960508,93.36362112,6.900914076,108.1338254
Papaya,Banana,65.83327664,47.254555,53.58121386,37.12547274,90.65260436,6.697732886,243.5377808
Papaya,Banana,64.0882679,55.74001427,54.59581539,43.46221541,93.87692295,6.947095295,245.8581831
Papaya,Banana,68.35800926,56.05534477,50.88530918,23.03335946,94.04503768,6.920107923,141.8496782
Papaya,Banana,31.74275515,68.91819659,53.35756502,33.01480622,93.80537037,6.81811629,166.9586689
Papaya,Banana,38.06527403,68.64113137,45.12511804,43.30798305,93.61851376,6.813828007,81.24002825
Papaya,Banana,49.18150259,64.66466299,46.60169361,41.06707534,91.73977144,6.62778835,220.4598192
Papaya,Banana,43.90815123,49.40468936,46.1230428,32.70158421,91.036362,6.80933734,83.44710749
Papaya,Banana,68.34622635,64.51444473,49.83250661,38.2405715,91.40602786,6.771002755,81.92224817
Papaya,Banana,53.81846651,65.92309417,51.43418798,43.65587671,94.94467377,6.866905382,43.10882126
Papaya,Banana,31.83793066,65.40807632,46.51193447,26.90581482,93.72113848,6.584368168,74.00876883
Papaya,Banana,35.74153357,49.7981661,49.11863437,41.12634786,94.62985577,6.900527909,92.39723198
Papaya,Banana,56.72468295,66.78834939,51.80346138,40.23980483,92.65891103,6.575824936,58.62336969
Papaya,Banana,49.60235034,67.72967156,48.67623663,37.15383568,91.58684338,6.851384842,141.6061252
Papaya,Banana,47.07338871,62.16464724,50.2208123,40.68494315,92.60921995,6.518688354,52.30072806
Papaya,Banana,68.1218069,51.9747468,45.21368356,25.44308948,90.27946451,6.890923982,206.5730982
Papaya,Banana,66.59103934,55.71231279,46.77257187,27.10859187,90.2165328,6.969595782,210.5177365
Papaya,Banana,67.33547243,62.52050316,52.6345461,37.01322451,90.38484922,6.540647357,133.9587152
Papaya,Banana,56.93913748,48.59835913,54.86692571,30.15272163,92.71841583,6.825927976,237.4369592
Papaya,Banana,69.22507024,63.44829637,51.76838217,28.6897934,90.06670675,6.698513079,96.48168286
Papaya,Banana,62.02058511,63.19817986,47.17643367,39.49874476,92.06636205,6.969563073,164.002661
Papaya,Banana,52.79138502,67.14955764,52.00696557,29.53297413,91.27857189,6.551574398,229.677249
Papaya,Banana,63.84890528,53.08159262,53.57723534,25.31960936,91.2102177,6.819149203,95.80257029
Papaya,Banana,38.19125774,56.04057231,46.29369668,26.21462465,91.97269279,6.546655564,158.1320258
Papaya,Banana,38.29115024,58.22639703,45.02811445,43.61305549,92.09823052,6.953825152,41.28148945
Papaya,Banana,65.88525381,51.40971787,53.46021229,35.62002816,94.42332231,6.859909527,173.4966801
Papaya,Banana,47.10964009,66.53994857,54.69985637,27.57286516,91.7613779,6.904975215,60.38064663
Papaya,Banana,43.7855645,49.56516868,54.57478517,24.26853572,93.52378485,6.830234965,67.08108122
Papaya,Banana,67.53975639,50.89301524,50.85175271,37.52155313,90.39432504,6.528832231,61.44551199
Papaya,Banana,56.52284446,47.41690647,49.46800578,34.78510829,93.89805344,6.621085002,133.4072417
Papaya,Banana,53.11177438,47.20022609,46.14118137,34.32243287,93.12258661,6.900782798,177.0005911
Papaya,Banana,31.27318824,46.58062941,49.45329277,29.63759015,94.23564043,6.90342031,213.5003102
Papaya,Banana,65.57198606,52.13890368,51.32510564,27.59571717,90.11874414,6.742116072,63.6979005
Papaya,Banana,52.90169915,64.66420272,45.41308895,37.25000913,90.54747379,6.971471892,102.2423246
Papaya,Banana,45.92251069,54.57847949,49.44904464,30.71508968,90.50595919,6.569517889,206.4362007
