main-crop,sub-crop,N,P,K,temperature,humidity,ph,rainfall
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),35.57344588,75.78537082,17.06399608,22.00001295,38.96094166,6.384281328,96.16625322
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),21.07474432,67.96715249,24.88398443,33.05447702,34.56138587,4.714403541,96.34569719
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),29.99305491,64.38789129,17.13546002,29.99852327,45.8959055,5.429461269,172.9106247
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),24.3342447,75.57028997,15.65284224,30.69783487,68.82685633,6.268196455,165.8698065
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),13.70208516,58.14790679,24.07683296,31.28764379,38.39119502,6.49337059,114.8697118
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),39.34597129,63.60427591,21.5018123,25.05925683,65.14992142,6.70469608,170.0986189
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),22.87312671,64.8795448,21.44003861,23.4372876,54.26137223,6.63824891,136.6347726
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),33.74816141,78.38778887,24.12622375,31.0965552,65.05030092,4.512915175,129.6356943
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),22.8153266,58.66431476,24.12429671,20.03953765,37.48963586,6.374128669,143.238475
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),0.374227531,55.86762279,23.84031014,36.77992357,57.86895357,7.359219682,195.6917357
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),12.34953012,68.68704372,20.22683567,23.64130361,35.65964255,7.237987934,134.9843307
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),20.89671727,64.17178448,18.05411059,22.48803908,62.92027285,6.051149449,95.23764664
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),26.70897792,55.54519253,20.90524256,19.85829044,48.10280703,5.564930203,186.7249673
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),7.913010538,60.23450732,17.20458942,30.99171661,48.66458216,5.432026912,109.7202527
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),19.32578196,78.45230835,18.23571012,31.90581142,38.7774465,4.547061901,187.3720056
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),3.833527484,71.74314696,23.56451568,25.37873437,47.3202563,7.122816049,128.0306939
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),24.31416729,64.00386537,20.50503676,31.2890255,55.09638399,6.513078887,136.9147626
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),1.087268183,59.90056897,15.30886323,21.96121488,31.92456024,5.348934517,189.1160084
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),26.98421166,72.54334913,23.25392758,21.8772197,49.25230796,5.533279534,93.096659
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),3.319471599,74.22378798,23.08206849,22.06203153,38.02790222,6.841860862,107.2551279
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),20.48268089,70.50700363,21.73306681,28.50067316,30.26122905,4.810627184,164.1062135
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),31.20319985,79.5161758,20.36292442,21.0773062,49.03169537,6.371376895,150.8566819
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),0.752818231,63.40143788,20.71412929,26.72997212,35.41422724,6.522766849,112.6540709
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),29.09898954,62.80645743,18.8194406,23.59686738,63.2053984,5.937979992,122.96841
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),1.876103408,75.02843241,22.72712838,18.27012654,58.22527137,7.089762951,168.2824378
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),15.93226739,72.65440887,24.37829938,25.97338831,32.75929681,6.878482964,198.9249941
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),26.37992559,64.51326493,21.47127668,23.8586662,64.25913169,6.089712072,97.74749422
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),30.91718818,73.60338995,17.8828511,26.08830172,50.25477336,6.345433595,97.94152441
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),6.610534134,63.83475437,23.04614172,24.22945955,35.88920521,5.803265129,109.7989762
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),38.36727073,63.3765764,22.43378044,27.31082806,57.81750727,6.889315919,107.0476179
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),36.51427871,61.56400697,19.788443,21.66457107,49.4490433,6.194693561,189.5655588
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),5.093944646,77.00078071,19.62176013,36.09412112,52.40170094,7.275471665,153.6504701
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),30.51018905,60.21906316,16.85473986,32.76451675,33.09788675,6.193221313,101.8341449
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),33.17859367,67.63133113,20.59043703,36.25724429,56.06387811,4.556077776,107.9925258
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),28.82038741,66.33646456,22.21388905,34.58660295,41.59146206,4.943908487,106.2700842
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),14.25210051,76.74839816,16.20384118,34.28733211,67.78743105,6.976651948,107.9100875
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),12.42304505,74.42875879,16.437247,28.59661309,69.36314354,6.676558567,116.2144691
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),36.34036486,67.73261012,15.60832927,23.91996433,54.47428801,4.816411514,130.0090572
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),34.28896226,64.66865526,16.51876256,26.92282591,43.95006743,6.738465877,195.4297292
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),34.37697919,55.87804611,24.47889349,35.30476293,60.3286365,5.385487922,170.4863851
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),17.35290141,70.29286632,19.04691154,35.71190309,37.0971622,5.205975244,119.0439307
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),31.99379171,56.54136366,15.37462896,18.14511995,52.09878617,6.269758993,147.9971588
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),12.61113965,75.48841604,16.31728561,19.26564425,32.59083773,5.893681077,106.4015243
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),33.47401902,57.52855457,15.76268874,20.05935548,57.6918581,4.563836303,192.3872334
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),16.99995615,72.52730993,18.04813704,32.75153798,32.64800979,6.103780121,169.7246747
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),32.48278893,66.75521294,19.77499529,25.01201896,37.82722775,5.94499403,170.3929335
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),28.39410655,79.06468297,18.15581213,29.04724715,66.88172125,6.114032858,178.4671551
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),3.875105678,73.24956502,17.03689505,25.30590379,58.31594457,7.327807476,137.2979808
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),6.039198838,60.97220244,23.37344915,34.92790071,40.48687049,6.097741202,198.6605093
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),37.74977186,68.20261479,24.48326746,31.99718253,67.9291026,6.867596195,179.0750031
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),26.89713129,79.82972425,21.02284927,34.97002281,34.83882925,5.253653534,191.2710845
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),34.44286483,79.86230576,24.46959007,26.75725464,58.63929277,6.987511713,174.8306264
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),38.73714395,72.66958619,23.31843074,20.62991801,34.80687166,6.142263788,182.9968083
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),1.252577266,75.0053591,22.8193001,34.35649392,65.52793564,5.001945929,194.6613102
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),36.30403502,70.48823356,20.9664377,23.52527627,66.47008038,4.952072261,101.4058109
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),11.87523667,57.33144162,22.72099758,18.98661242,44.19787733,6.964295794,175.7592178
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),4.582827151,65.19195087,24.95070206,34.22805284,41.23961301,4.603737952,146.5316367
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),38.1165339,58.70339309,17.72901839,24.66323322,38.92241255,5.86643842,137.1712751
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),2.848583076,75.86284275,16.55276916,34.70942712,41.88029528,7.196261541,134.2404822
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),5.185481547,76.59434312,15.90489464,22.94850269,62.55435521,7.05651024,151.4693917
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),19.97469286,58.36815579,19.99481138,27.69005945,49.64814056,5.803273825,168.0075588
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),20.60656116,63.34995173,16.07358843,30.91404164,49.70965796,6.911037729,135.9315046
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),16.17980328,62.65990876,20.28129951,27.27057108,69.23152256,4.65853092,195.5733071
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),25.90999115,73.21469308,24.02585153,34.39756534,52.01044448,7.111577832,147.9361269
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),26.9073465,78.8200072,24.89217366,29.91854507,69.40015484,7.255971039,159.9267869
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),6.538068413,58.92767099,24.42755511,32.62822892,64.51213003,6.812345041,176.2796735
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),34.94092668,63.56546591,19.11937001,20.54995464,65.08349301,6.102449053,148.4513807
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),9.101144055,64.54469717,22.65591251,18.18001461,56.34952116,5.643749259,178.5669125
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),16.13267109,69.86437878,24.49826105,30.29795128,69.73974378,6.132384368,158.4360589
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),26.3625396,77.48934497,22.17446169,31.87290344,46.77588596,4.752791021,198.2488407
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),7.777755845,60.97368344,15.48793102,34.72028014,42.53459202,4.908423338,94.91872143
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),38.39691697,68.09498121,16.7529178,34.51571197,45.50854163,5.133958809,143.3677792
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),22.10451971,75.70324513,19.09840854,20.55593899,44.25547284,5.878114888,173.9464729
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),21.12911693,58.81501056,24.28027657,32.88528273,64.34308786,6.924838586,128.6200526
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),8.443437915,59.4491645,19.74168972,18.34590231,32.31610154,5.124997879,136.0400148
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),30.71412381,73.83039264,16.74655966,31.69390899,44.28625823,6.360634627,179.4912045
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),27.33658343,71.25476639,19.6438134,34.05815108,56.13182587,6.653032217,116.3151474
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),31.71900808,79.73584009,16.08310184,36.26949567,49.40559938,6.555325535,92.6030796
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),29.75163115,70.36298485,20.19855223,35.95123238,53.72109128,5.544867208,171.763928
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),30.14440497,65.3665523,23.83978537,30.02554366,61.82982524,6.578413475,170.5887178
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),10.36058905,79.03729347,16.93540787,18.05363321,30.9345065,5.736557725,93.17103177
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),17.59635259,67.62463655,24.79691279,35.33458558,59.47067335,4.968125328,157.1395648
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),19.19984431,78.41076051,18.85146092,18.50666267,37.86955768,5.065243625,94.96613237
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),14.44027258,75.00160302,19.39540125,34.60661997,31.90879081,5.018461328,146.3019022
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),3.055052668,55.55680514,23.46284853,33.32033393,35.31099643,5.572136445,161.2330377
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),5.842637734,59.72142239,18.55647357,29.10829776,45.64194104,5.786959349,173.1976315
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),2.559244545,71.6136301,15.36603542,19.14563828,48.96747713,5.806991872,198.9812233
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),3.538328577,78.38704073,20.46386697,36.12220844,33.81446421,7.031836858,117.8811505
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),39.03852795,75.54667384,22.48418462,26.02133264,47.5856721,4.547965945,154.6788876
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),16.65291604,76.95427795,15.07195419,36.26394734,60.22734024,6.043294908,178.8418397
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),3.650314384,70.97347489,21.43740552,18.96405686,51.34363172,4.581131579,113.7215541
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),33.85198365,74.00772062,19.05683924,31.86317101,58.57627088,6.194962132,105.2935496
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),31.68844053,58.41906242,21.70062417,35.89623655,40.3271328,5.875178096,166.6026498
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),5.15941511,61.77513135,23.03522008,30.95212533,69.55610441,5.658331509,169.5816874
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),35.77379718,65.15475482,17.02261055,34.10212368,59.21958189,5.961918365,120.3470698
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),35.29472884,55.83149768,20.77945107,31.73666617,49.52585208,7.207116544,198.2886708
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),19.21672627,65.10886062,20.34739974,28.62890915,51.75633917,4.761161939,183.8748144
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),25.52376744,78.04518575,22.80787222,19.85075171,51.05756394,5.610170989,169.1828076
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),38.40865688,68.01364544,15.17989586,36.34994623,62.15870906,7.134681506,104.2261346
Pegeon Pea (Arhar Fali),Bengal Gram(Gram)(Whole),7.686012381,70.87123427,18.34928272,21.35954756,52.71869806,5.66852232,166.5209315
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),20.63779196,68.56761321,20.87437195,33.91095608,38.44457257,6.592449331,133.3455323
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),21.14321247,64.62280389,24.58457985,26.09958865,54.78617364,5.463247922,158.9361457
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),30.03159154,76.53085729,20.23719358,26.05592318,35.69327284,5.812971509,158.8648445
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),4.030891771,75.56029727,24.49450065,23.01238634,43.25525883,4.632571946,153.3636998
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),32.92000155,77.71306302,20.77827343,33.62111519,40.79950833,7.085827937,96.68854549
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),13.92278547,77.71091799,21.35565009,26.41770625,59.33179376,5.106450127,159.7208441
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),34.17302581,63.7056159,22.36173729,19.38662709,65.16381595,5.135642621,160.2861261
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),0.225126176,70.89036778,23.61986927,18.29713077,48.78913963,6.776598307,172.8381554
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),4.220949152,69.70686247,23.96833523,18.07683339,31.78520033,7.115292676,192.9759872
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),2.078701907,73.5691709,24.60867226,20.22930131,54.97360369,6.154004275,107.2058275
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),21.91233628,73.35930443,21.10509151,27.4947331,54.32297985,6.720891438,183.3446567
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),30.25867619,62.6212543,20.23828944,27.4824161,31.21473367,5.891022242,148.5386369
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),12.32410682,72.44814555,23.83430874,21.06044801,66.12044665,5.215303473,148.0628962
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),28.7060991,74.62048101,18.68171973,20.56852609,53.51986203,5.792366506,94.97601508
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),37.31424966,60.42614149,18.51506584,30.37643653,38.33829012,4.683345818,91.14685548
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),26.00443004,68.70797236,22.58691162,20.76267184,62.32035632,4.889479025,138.2554599
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),12.72313286,75.61049831,21.82381197,35.76026299,64.81285392,5.306569479,150.3792263
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),27.18889333,65.90449261,22.43419445,29.23420653,43.72479624,6.585692785,131.8346887
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),31.14972413,67.50818215,20.73746285,24.55046439,33.20269744,4.902024349,194.8574083
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),7.354615614,55.39570389,18.85394552,22.02449035,58.55527278,6.693788149,105.3082876
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),22.4373788,73.19169193,18.48802412,36.13284926,32.53186861,6.016080875,169.7552746
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),26.00202281,55.0774873,22.54888355,20.600157,47.05889341,7.38148417,130.049387
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),2.059190178,72.64644214,17.42653207,30.7999437,53.36748715,7.170883136,142.095153
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),9.171364871,62.52061479,15.40243321,30.9516887,53.38471953,6.777715114,180.3853254
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),1.542622298,70.89988234,19.09503342,34.75124399,33.60127468,6.368483584,92.7932251
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),22.65055757,66.25179236,18.43967213,26.36325241,39.43755369,7.102880508,131.460812
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),32.26178437,66.32085709,18.91749575,30.28243528,45.95608027,6.98638476,107.4865923
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),16.30316312,57.34912482,17.3567131,18.43952227,42.31427416,7.075156549,193.4314729
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),7.505104621,71.36331259,20.63782721,19.6473678,37.23000857,5.401795591,114.862483
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),7.786980777,67.81800255,24.06046196,34.31551297,34.44873844,5.593870443,194.5833302
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),1.806488744,57.59838659,20.45299816,24.92161499,41.40609706,4.521848445,186.9994564
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),26.44839219,74.15712563,17.06480762,36.15573091,40.22563373,5.885939941,131.6571857
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),20.69443724,63.81625461,19.74844434,36.54513011,65.9804771,5.642185632,118.6552684
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),39.00773244,73.84309375,16.61420873,21.76938172,43.77695579,6.124703609,139.1936218
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),0.083998454,57.90452023,17.81647441,21.09194355,59.94768913,7.220267933,183.4282086
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),22.53873235,74.28209242,20.84397773,26.62176797,35.11193431,5.970669413,183.3165264
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),36.19265102,73.60756417,18.54908851,25.44148041,47.94309167,7.213070101,108.0623322
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),20.88195689,63.46627215,24.23989011,24.53185386,62.78893453,6.050218145,170.6680002
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),9.432604711,72.81844893,18.44271158,24.87947379,68.63400932,5.323366178,176.7602605
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),4.635127944,68.38865825,17.79691012,19.78502645,48.04280706,5.995179267,187.0307541
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),19.43382922,70.41584103,22.39099077,23.14733998,66.54483207,5.669884307,106.1680723
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),30.74180582,55.84475703,24.42898528,36.75590934,64.33155104,6.72376257,126.9828095
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),30.18509123,74.66134405,17.69512736,19.25951697,50.68171429,6.988800326,155.7879179
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),5.149240965,72.45946193,20.00634466,18.21668551,38.32611623,6.807908339,131.0763099
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),33.87521693,76.10769799,20.8221903,27.50374139,34.90887015,5.078705022,95.83252674
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),5.769542383,60.490047,20.0198014,18.88031316,41.78360162,7.062019935,169.9596531
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),2.004479377,66.45547308,23.58782104,22.24848639,56.80317948,6.356317971,111.862472
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),7.274120009,55.44620865,24.41623811,20.6832141,41.13848632,7.301416098,115.1251022
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),4.760453616,57.09273935,18.17330992,18.73220038,50.00643771,5.236199962,102.1958528
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),39.5567221,56.50992543,22.03414059,30.87840281,48.15064316,5.536012437,165.4863142
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),37.26721644,71.19378166,22.46720324,22.83901224,69.3702854,6.187886146,101.256456
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),37.2291196,75.06004203,23.07988539,22.39313128,44.98433133,5.089275019,163.0368147
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),8.547178112,58.53559785,24.77840048,35.36452709,67.55772982,6.982687549,110.10224
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),0.829729036,73.01240907,23.41224082,24.20580301,50.21665636,4.735081724,140.4293584
Pegeon Pea (Arhar Fali),Lentil (Masur)(Whole),26.14357505,56.68032617,23.40327574,25.28863469,46.33459124,5.667167592,139.7638842
