main-crop,sub-crop,N,P,K,temperature,humidity,ph,rainfall
Pomegranate,Guava,5.017137447,23.05522826,42.57829744,19.21227736,85.91116749,7.13441394,111.5552859
Pomegranate,Guava,33.37415013,19.39816835,36.43705776,18.3804733,90.88575216,5.860988477,102.2559671
Pomegranate,Guava,34.83204161,11.32575149,43.05940767,19.55756862,86.5135174,7.081844883,108.9527685
Pomegranate,Guava,20.28392627,17.54635027,40.59973462,19.39681506,89.34629376,6.405286136,103.3767022
Pomegranate,Guava,32.36519243,18.36757083,42.64050081,21.10268891,88.58738835,5.802186747,108.9106622
Pomegranate,Guava,26.52711116,23.27247592,44.51418878,20.80290827,87.83847403,6.5043308,109.0476005
Pomegranate,Guava,10.23930819,24.74389934,43.83154151,24.01036426,90.10306535,5.70406013,106.7868814
Pomegranate,Guava,21.95270441,21.8079937,43.33104977,20.69366159,88.39360367,5.703517661,110.619283
Pomegranate,Guava,6.557151393,19.35392561,41.65538854,19.33750101,86.48893776,5.850561505,111.3429145
Pomegranate,Guava,13.05457035,10.70807623,38.47663981,21.12223193,92.1285306,6.000490008,103.6169457
Pomegranate,Guava,32.75474333,11.10805807,35.46563387,18.17637125,92.33216781,6.388901426,110.4071723
Pomegranate,Guava,39.10435391,27.73972009,44.29802623,23.22510279,85.53855993,6.148223213,107.5629163
Pomegranate,Guava,36.04558555,17.3585551,37.39412866,18.29109759,92.20802428,5.907109024,102.5625354
Pomegranate,Guava,20.64705934,8.137210778,43.24765876,19.35520455,93.8344193,6.926776834,102.1782296
Pomegranate,Guava,8.393753624,12.74638739,43.95916201,20.630842,90.56937674,5.633038393,110.2353549
Pomegranate,Guava,21.26957199,9.292530838,39.89251157,22.69469905,86.67661258,5.941031367,107.9569238
Pomegranate,Guava,2.817792669,22.45850687,42.8002611,24.18875822,92.93498946,6.589310943,102.9498056
Pomegranate,Guava,19.31658852,15.97596068,41.45007136,22.64497582,85.42653116,7.13396921,103.645001
Pomegranate,Guava,19.68703127,24.09272152,44.94488169,21.83107015,88.21453216,6.039817837,110.2915214
Pomegranate,Guava,1.225149492,27.93994603,41.35968448,24.07849987,85.69130447,6.972316956,106.4197689
Pomegranate,Guava,15.57183781,19.91358108,35.49759532,23.56966237,90.02249103,6.940757388,110.5307782
Pomegranate,Guava,9.797179881,18.08606049,36.442036,18.62640503,94.68824757,6.053146951,103.72697
Pomegranate,Guava,27.3757052,19.10989429,41.15107236,23.85034799,86.39765728,7.025724531,107.4041055
Pomegranate,Guava,39.83676272,12.55095807,44.57069086,23.07994146,94.55531923,6.965236121,106.7453565
Pomegranate,Guava,25.92236731,14.93356774,38.75905309,19.65571502,87.92217109,6.320978914,103.8402679
Pomegranate,Guava,37.64961157,8.661184411,37.1921267,19.33718625,91.72709462,6.004781252,108.6583898
Pomegranate,Guava,33.71276232,22.48923393,36.29232979,19.00632618,89.57174776,6.886170717,104.9029015
Pomegranate,Guava,31.62190714,18.8022568,44.40704225,21.82885532,91.68798844,7.150272802,108.4493368
Pomegranate,Guava,2.315696581,17.46299824,40.22072997,23.79968019,93.48193901,5.565594314,106.0697392
Pomegranate,Guava,32.45198828,11.59173111,41.75182325,19.28374381,88.33475144,5.622346553,103.6030413
Pomegranate,Guava,22.914229,24.13303263,39.71935028,24.07346456,93.40029014,5.618371125,107.8394129
Pomegranate,Guava,28.45910117,10.60741182,43.12657795,24.08625744,94.24488518,5.798853948,107.1251875
Pomegranate,Guava,9.498463647,10.64243592,40.88645271,19.15873771,94.18108438,6.222994818,108.5968918
Pomegranate,Guava,4.621970695,12.18842726,40.69267754,19.94321411,94.18700307,6.845354787,106.2576397
Pomegranate,Guava,4.704540074,20.44981901,37.67522071,23.24104617,85.02262074,5.745112689,111.5440723
Pomegranate,Guava,0.018825806,28.68084131,36.25866337,21.13134124,90.88918519,5.783758636,107.6252454
Pomegranate,Guava,17.61530976,8.298543608,40.13943612,23.60178724,88.85835092,7.062372547,105.4724794
Pomegranate,Guava,5.096063047,14.06828958,44.79835685,23.4029866,85.40252098,7.107309072,111.9276841
Pomegranate,Guava,21.60726238,5.283443208,44.80775948,19.11977314,88.1483351,6.950714018,106.7662797
Pomegranate,Guava,21.29931111,27.42017206,37.4460383,19.69126314,92.92576963,6.488074179,105.8666976
Pomegranate,Guava,13.96361491,23.5361134,40.68643043,24.54606187,87.34521294,7.072334653,105.7026882
Pomegranate,Guava,27.27736752,13.37524729,35.31630177,23.143353,89.76469792,5.660779553,106.5538845
Pomegranate,Guava,21.94588269,18.25976673,42.95655729,23.2058679,94.90593197,5.70611412,103.4192264
Pomegranate,Guava,6.348910622,11.36230654,40.79816176,20.95571101,88.31726677,5.573371281,108.052484
Pomegranate,Guava,32.55741457,23.16232678,42.54914439,20.21587131,93.74516471,5.956181325,111.5469036
Pomegranate,Guava,22.53811279,27.74508225,42.82135844,23.26690377,87.18296831,7.032515695,105.3055594
Pomegranate,Guava,21.0062743,6.560086864,43.19005817,23.54283298,85.85187747,7.102236588,103.6109759
Pomegranate,Guava,2.542025456,20.75471316,37.10719879,22.17167225,90.83994124,5.637259302,110.4153189
Pomegranate,Guava,13.04417794,5.334867412,37.15408779,20.51161101,92.26097154,5.518143586,104.3479189
Pomegranate,Guava,3.449140809,17.81479413,41.80716871,23.36237379,86.95015274,6.256731814,111.2716419
Pomegranate,Guava,37.20351495,13.30437852,41.60897126,22.14982544,90.64813327,6.234074581,106.6233011
Pomegranate,Guava,23.32536776,8.826675995,39.65917184,22.22892755,93.74041545,6.922960425,106.4677608
Pomegranate,Guava,10.490835,17.75823604,36.07547634,21.68784662,93.0024893,5.720090199,109.0763256
Pomegranate,Guava,3.170453641,11.29422784,37.43282092,22.52952218,91.4652584,5.993441582,109.2247247
Pomegranate,Guava,4.499242726,6.947989738,40.30941528,20.17172641,93.21006903,6.884393375,110.7032989
Pomegranate,Guava,7.545279108,25.99095793,40.36706169,23.49048958,89.47057186,6.241485529,108.0594791
Pomegranate,Guava,31.7125465,6.732472339,36.81343111,24.67591398,92.37764575,6.593165795,103.7004542
Pomegranate,Guava,4.489411746,19.22094515,35.24311437,18.23795368,88.70087414,5.604098129,111.3863453
Pomegranate,Guava,9.32959464,28.08523895,35.34424653,24.87280597,91.44831129,6.787735498,102.188793
Pomegranate,Guava,21.98268758,22.729907,38.53016935,24.17570019,88.57044189,6.564822359,108.9048451
Pomegranate,Guava,18.16591829,14.54592006,41.82472697,18.74680493,94.56678773,5.922790573,106.4646999
Pomegranate,Guava,18.2801892,12.83495137,37.49888599,24.93771218,94.94720973,5.605697512,104.0553422
Pomegranate,Guava,7.151875981,28.02069099,43.08166131,24.77726701,86.62052239,7.005448215,102.9517776
Pomegranate,Guava,33.51532501,17.91915311,40.65357952,20.37760099,89.49536758,6.174924571,103.3575208
Pomegranate,Guava,39.64966172,7.577267012,39.7283233,22.11969746,90.76312176,6.109274905,110.7559174
Pomegranate,Guava,31.97789039,15.30867457,35.26217858,18.46382127,92.61567073,5.611620114,107.7609224
Pomegranate,Guava,0.384410136,5.849254906,43.75900494,18.90773116,88.68805589,6.434339744,105.1610755
Pomegranate,Guava,15.59558373,22.50285287,36.8448616,22.0775475,94.63793187,6.185380478,103.985667
Pomegranate,Guava,35.84157658,7.483221825,42.24865863,22.35603891,92.13157386,6.167149219,107.9944233
Pomegranate,Guava,3.907519186,17.4486336,35.6454622,23.0912983,87.1785358,6.589923124,104.2739924
Pomegranate,Guava,0.784527018,15.87561493,35.8092884,23.82616144,86.16189122,6.456706603,103.2760357
Pomegranate,Guava,38.97428282,24.35932121,35.75425953,24.46932824,91.70042023,6.641998688,102.5490957
Pomegranate,Guava,38.35289485,9.439295019,39.86711051,22.41568201,87.00058708,7.119542418,109.4831226
Pomegranate,Guava,15.28185811,12.92135593,38.60809678,24.17627075,89.79809991,6.070766791,106.9810513
Pomegranate,Guava,36.33533805,19.61163013,37.55269375,22.40085742,89.2973747,6.590153439,106.081196
Pomegranate,Guava,39.48770643,8.57308081,36.17983662,20.5207802,94.77215999,5.645819226,109.9316758
Pomegranate,Guava,3.564953092,25.7521342,41.84921253,22.22827419,94.52234686,6.424277102,102.2156193
Pomegranate,Guava,32.93528641,12.00226044,36.92018002,18.03046895,90.36230381,6.723893555,106.9763644
Pomegranate,Guava,18.45113047,7.657794647,37.49809039,20.75131435,88.62537065,6.218552802,111.3947431
Pomegranate,Guava,36.45558768,26.14041782,42.61763118,20.99233483,90.28448427,6.340293629,107.119382
Pomegranate,Guava,31.71160808,26.61440491,36.61513672,22.92792078,89.65403142,6.078822941,107.9699094
Pomegranate,Guava,16.91241862,25.02528036,35.7712885,23.95357892,87.95817724,6.8313591,109.074877
Pomegranate,Guava,20.40269711,17.75219858,42.47444625,22.37639794,86.00306048,5.665649141,104.7619661
Pomegranate,Guava,9.177613008,27.89730417,36.98038287,19.23366437,89.35211177,7.138683964,103.4930812
Pomegranate,Guava,27.79853834,22.84686408,42.30845853,18.159989,88.33630667,6.551743299,106.8607692
Pomegranate,Guava,37.3961598,7.200458909,35.73632008,19.60653235,92.63954502,5.596000535,104.8806883
Pomegranate,Guava,18.00534218,7.153203454,40.82843545,24.9708029,91.16286799,5.921169443,109.8479709
Pomegranate,Guava,0.335869415,23.637185,41.24915537,20.75400067,90.30418157,6.488650364,104.1228184
Pomegranate,Guava,37.77358119,21.50854183,35.67466865,18.3502429,93.6772881,7.089833116,103.9901062
Pomegranate,Guava,32.25336633,13.07801397,42.77135275,20.9734375,86.13432689,5.870031008,109.0316105
Pomegranate,Guava,12.05368428,17.13578901,39.3914006,22.19533167,89.79491861,6.327488329,111.4835816
Pomegranate,Guava,5.257151215,9.200869054,35.54391377,20.04409498,89.89273233,5.537593058,107.6666971
Pomegranate,Guava,24.66872897,8.661796885,36.81443308,19.47586111,91.65500737,5.745578825,103.4774572
Pomegranate,Guava,20.57058147,14.05513424,44.69316464,20.88961254,87.479315,5.972327256,110.1633235
Pomegranate,Guava,10.2738108,27.06428454,39.64694197,24.13422659,90.02891517,6.810824694,105.3219183
Pomegranate,Guava,2.756453138,20.25854589,43.48594961,21.6987212,91.73020365,6.679611718,103.9063277
Pomegranate,Guava,7.352580013,5.482354932,40.92492836,24.55233318,88.94251728,6.38665349,110.925681
Pomegranate,Guava,23.3544036,17.83598289,39.42945111,18.63041526,92.52207641,5.923886319,102.5053144
Pomegranate,Guava,4.862719028,14.56835617,36.43413761,19.68758612,86.15343716,6.532117161,106.4201674
Pomegranate,Guava,21.05669232,9.9187704,38.86260086,20.62354695,91.94078492,5.831534554,102.9689259
Pomegranate,Fig(Anjura/Anjeer),5.296663211,23.58391122,36.53348533,21.85407264,93.19114446,6.989093991,103.6161849
Pomegranate,Fig(Anjura/Anjeer),33.93944121,16.34107873,42.71444907,21.86075465,93.49792215,5.550993951,111.7724957
Pomegranate,Fig(Anjura/Anjeer),30.39087076,21.93577424,39.75655145,24.12596101,93.69028976,7.09984324,102.0817578
Pomegranate,Fig(Anjura/Anjeer),8.678172412,12.8691213,37.87122738,23.45335408,92.38246615,6.743935113,110.6455128
Pomegranate,Fig(Anjura/Anjeer),18.05059508,11.72223749,35.0029682,24.98045433,85.63854317,5.7395312,103.634494
Pomegranate,Fig(Anjura/Anjeer),25.42647834,12.3317158,41.44516387,21.73670558,90.17906533,7.16498943,110.0337536
Pomegranate,Fig(Anjura/Anjeer),5.309840587,13.87344666,36.90234988,22.71494439,91.84377733,6.540981163,108.7299372
Pomegranate,Fig(Anjura/Anjeer),18.96682219,22.9933753,38.68368518,20.73355601,85.2739909,6.301095361,106.3629656
Pomegranate,Fig(Anjura/Anjeer),28.55358835,28.63614415,43.02890868,21.68680802,90.23835932,6.48756777,110.7865102
Pomegranate,Fig(Anjura/Anjeer),20.53159117,20.76231489,40.57772266,23.5275797,90.33189586,6.064740133,106.8608286
Pomegranate,Fig(Anjura/Anjeer),25.1301769,25.1557817,35.67853646,20.63123759,92.43961539,6.152575058,103.9473213
Pomegranate,Fig(Anjura/Anjeer),26.62269993,29.38747202,40.17846532,21.71805793,91.81376019,6.583718472,104.625661
