main-crop,sub-crop,N,P,K,temperature,humidity,ph,rainfall
Rice,Paddy(Dhan)(Basmati),95.04100796,51.92441615,41.66694571,26.5551924,84.58072116,5.980502644,250.8409754
Rice,Paddy(Dhan)(Basmati),73.82878171,41.39921283,44.16070182,24.35772286,83.35963942,6.360682168,216.9043226
Rice,Paddy(Dhan)(Basmati),89.14338131,55.06824983,40.73332094,20.34900671,83.28762076,6.002655605,262.7368572
Rice,Paddy(Dhan)(Basmati),64.78537134,48.9920291,43.49323413,20.05669794,84.23931321,7.655880341,226.9414285
Rice,Paddy(Dhan)(Basmati),80.28401656,40.90823989,44.21724941,20.35320459,83.28724802,7.153330529,235.3559246
Rice,Paddy(Dhan)(Basmati),92.22194625,37.75529776,44.11614006,23.99868354,81.54749852,6.861875474,189.2439452
Rice,Paddy(Dhan)(Basmati),66.53898724,57.49898589,42.75622155,26.1649101,81.8097072,6.023411592,203.2405592
Rice,Paddy(Dhan)(Basmati),62.72162617,41.27838718,41.78815022,26.47770477,82.40211726,7.324768113,206.3878983
Rice,Paddy(Dhan)(Basmati),85.52204966,49.73643507,44.21374426,21.016379,84.77526715,6.45582289,235.1466296
Rice,Paddy(Dhan)(Basmati),74.40048868,48.35298918,36.51625942,26.08106629,83.79387125,7.436540301,251.4184445
Rice,Paddy(Dhan)(Basmati),81.93116608,42.5374137,35.93834978,20.42777629,81.18331519,7.278200743,216.5718808
Rice,Paddy(Dhan)(Basmati),81.0567702,38.06488972,41.51318025,25.37527989,82.54818861,7.623242166,209.6151154
Rice,Paddy(Dhan)(Basmati),71.7747231,46.54255654,42.19671437,21.85479962,84.43921847,7.461217365,265.3584507
Rice,Paddy(Dhan)(Basmati),76.271576,55.52324035,37.91721415,23.71998815,81.04031083,7.18425161,243.5099828
Rice,Paddy(Dhan)(Basmati),88.69309321,42.14115538,41.19594821,25.26609772,83.8327361,6.723017953,207.7501581
Rice,Paddy(Dhan)(Basmati),65.10846183,43.41296449,38.44195524,24.31820041,82.42721365,6.09615393,183.3581352
Rice,Paddy(Dhan)(Basmati),85.37964243,50.06928358,38.3029551,20.22145018,80.73910138,7.13089533,221.930608
Rice,Paddy(Dhan)(Basmati),93.40160422,45.87136273,38.26037403,22.35293626,81.69192871,5.837986223,214.4217123
Rice,Paddy(Dhan)(Basmati),94.1610789,42.74239225,38.20513873,22.02975967,82.66371993,6.196551303,190.6968871
Rice,Paddy(Dhan)(Basmati),81.39689511,54.77515045,42.39654706,26.71696604,81.45063635,7.396107575,188.3520935
Rice,Paddy(Dhan)(Basmati),75.69383038,56.96376233,38.44995387,25.20801462,82.5084854,6.174587335,282.7501138
Rice,Paddy(Dhan)(Basmati),76.03184955,41.68648917,38.72568947,24.66805501,81.11292046,6.818990313,222.0723959
Rice,Paddy(Dhan)(Basmati),66.83616712,45.80263207,35.01274371,20.32240136,84.46905425,7.709992649,276.5126311
Rice,Paddy(Dhan)(Basmati),80.8760684,52.93339506,44.14832163,20.1976761,84.86422778,7.247265326,281.231905
