main-crop,sub-crop,N,P,K,temperature,humidity,ph,rainfall
Water Melon,Crimson Sweet,107.7015192,10.21317445,51.60410096,26.44286329,82.52040128,6.207502038,54.95902712
Water Melon,Crimson Sweet,108.9018182,27.719908,45.96573622,24.45994291,83.47451242,6.294064215,54.06305001
Water Melon,Crimson Sweet,93.36179743,11.42871878,53.17894575,24.32013885,87.46411379,6.382475183,44.2132908
Water Melon,Crimson Sweet,91.45744585,28.52858871,54.1521503,26.60885243,85.73634745,6.13387881,52.95492185
Water Melon,Crimson Sweet,85.41895186,23.87580954,48.28368948,24.81025632,88.64438671,6.585859408,46.10955072
Water Melon,Crimson Sweet,100.2070532,18.85810582,46.46997597,24.06918936,86.89424988,6.387638519,44.42478208
Water Melon,Crimson Sweet,96.91419386,9.572880286,52.59547377,26.19962609,81.04227995,6.452845941,58.90882903
Water Melon,Crimson Sweet,100.4879735,12.70256068,45.25792133,26.24411967,86.03227945,6.238084089,58.73166019
Water Melon,Crimson Sweet,98.50309642,7.768274855,45.13319547,25.69932751,86.23058335,6.304688535,57.79503265
Water Melon,Crimson Sweet,90.04983832,19.44609386,53.87626498,26.44084134,88.72156847,6.280166084,46.27848193
Water Melon,Crimson Sweet,96.41305979,16.84030247,49.0682581,26.40148046,84.50697501,6.187557988,40.91358424
Water Melon,Crimson Sweet,94.08469539,13.47983072,47.6517684,25.81573773,83.48279333,6.904371211,52.96074693
Water Melon,Crimson Sweet,118.5944314,21.19533517,49.47798943,24.10006806,82.32464,6.123316517,48.44555201
Water Melon,Crimson Sweet,94.15436333,8.12086007,46.27655703,26.92785498,81.4536201,6.271761774,44.71847767
Water Melon,Crimson Sweet,113.0090343,13.5960834,50.08594101,24.93387309,88.54853041,6.610259884,49.86767753
Water Melon,Crimson Sweet,86.87344418,11.57319517,54.54424597,26.32040838,88.50630856,6.092615674,58.30425593
Water Melon,Crimson Sweet,96.75389392,27.43580955,53.00918346,24.6070318,85.36460026,6.191928487,47.27436886
Water Melon,Crimson Sweet,91.09859148,27.41925711,50.89601772,25.35040949,82.82831687,6.606256613,56.01188102
Water Melon,Crimson Sweet,82.0609281,7.103319011,50.65372219,24.09991034,81.33994266,6.90790721,44.36757424
Water Melon,Crimson Sweet,104.142663,20.78439844,48.73004472,25.91172514,84.00295912,6.438330703,57.09842012
Water Melon,Crimson Sweet,94.4732091,17.98536951,50.46702132,26.68011089,87.15488096,6.115195729,45.43646258
Water Melon,Crimson Sweet,88.94128057,14.87110869,50.73144497,26.31922624,87.15136562,6.402611352,52.8134122
Water Melon,Crimson Sweet,118.5790937,11.95177,46.59920287,26.14831394,85.81285497,6.314032818,52.92831095
Water Melon,Crimson Sweet,111.0379521,21.75626261,54.33477994,26.30567224,82.79236245,6.880984581,47.67800168
Water Melon,Crimson Sweet,110.2295086,21.40109222,47.89819897,25.24267191,86.02157489,6.871228624,40.51150129
Water Melon,Crimson Sweet,100.3307165,19.92541403,52.24687251,25.78182169,80.88740893,6.575410728,59.44642948
Water Melon,Crimson Sweet,85.6471289,27.00532515,53.29109044,25.16302409,86.9848391,6.888604453,47.99729615
